compound1,compound2,reaction,KOs
C00002,C00008,R00617,K00946
C00002,C00068,R00617,K00946
C01081,C00008,R00617,K00946
C01081,C00068,R00617,K00946
C00003,C00178,R01414,"K17722,K17723"
C00003,C00004,R01414,"K17722,K17723"
C00003,C00080,R01414,"K17722,K17723"
C00009,C00002,R00177,K00789
C00009,C00073,R00177,K00789
C00009,C00001,R00177,K00789
C00013,C00002,R00177,K00789
C00013,C00073,R00177,K00789
C00013,C00001,R00177,K00789
C00001,C03405,R12963,K12373
C00001,C01132,R12963,K12373
C00049,C05840,R07407,K06989
C00049,C00005,R07407,K06989
C00049,C00080,R07407,K06989
C00006,C05840,R07407,K06989
C00006,C00005,R07407,K06989
C00006,C00080,R07407,K06989
C00354,C00085,R00762,"K01086,K01622,K02446,K03841,K04041,K11532"
C00354,C00009,R00762,"K01086,K01622,K02446,K03841,K04041,K11532"
C00001,C00085,R00762,"K01086,K01622,K02446,K03841,K04041,K11532"
C00001,C00009,R00762,"K01086,K01622,K02446,K03841,K04041,K11532"
C02504,C00024,R01213,K01649
C02504,C00141,R01213,K01649
C02504,C00001,R01213,K01649
C00010,C00024,R01213,K01649
C00010,C00141,R01213,K01649
C00010,C00001,R01213,K01649
C00029,C00103,R00955,K00965
C00029,C00052,R00955,K00965
C00446,C00103,R00955,K00965
C00446,C00052,R00955,K00965
C01132,C03272,R04184,K12373
C01132,C00001,R04184,K12373
C00152,C00049,R00485,"K01424,K05597,K13051"
C00152,C00014,R00485,"K01424,K05597,K13051"
C00001,C00049,R00485,"K01424,K05597,K13051"
C00001,C00014,R00485,"K01424,K05597,K13051"
C00345,C00199,R01528,K00033
C00345,C00011,R01528,K00033
C00345,C00005,R01528,K00033
C00345,C00080,R01528,K00033
C00006,C00199,R01528,K00033
C00006,C00011,R01528,K00033
C00006,C00005,R01528,K00033
C00006,C00080,R01528,K00033
C00058,C00080,R00519,"K00122,K00123,K00124,K00126,K00127,K22515"
C00058,C00011,R00519,"K00122,K00123,K00124,K00126,K00127,K22515"
C00058,C00004,R00519,"K00122,K00123,K00124,K00126,K00127,K22515"
C00003,C00080,R00519,"K00122,K00123,K00124,K00126,K00127,K22515"
C00003,C00011,R00519,"K00122,K00123,K00124,K00126,K00127,K22515"
C00003,C00004,R00519,"K00122,K00123,K00124,K00126,K00127,K22515"
C00001,C04635,R07379,"K01047,K01058,K14621,K14674,K16342,K16343,K16817"
C00001,C00060,R07379,"K01047,K01058,K14621,K14674,K16342,K16343,K16817"
C06010,C00022,R00226,"K01652,K01653,K11258"
C00011,C00022,R00226,"K01652,K01653,K11258"
C00001,C01132,R06004,K12373
C00002,C22161,R12434,K03800
C00002,C00013,R12434,K03800
C04916,C04666,R04558,"K01663,K02500,K02501"
C04916,C04677,R04558,"K01663,K02500,K02501"
C04916,C00025,R04558,"K01663,K02500,K02501"
