	0
K22293	blue
C00235	yellow
K07107	blue
K00611	blue
C00315	blue
K02121	blue
K09998	blue
K18829	blue
C21881	blue
K09181	blue
K03215	blue
K14989	blue
K08987	blue
C00068	blue
K05815	blue
C04896	blue
K02492	blue
C00530	blue
C19787	blue
K08483	blue
K01821	blue
C05838	blue
K06198	blue
K01596	blue
K11755	blue
K03500	blue
K00791	blue
K09685	blue
C05762	blue
K13288	blue
K00282	blue
K19165	blue
C00042	blue
C00468	yellow
K00226	blue
C00502	blue
K06934	blue
C01250	blue
C03492	blue
K02118	blue
C20562	blue
K06178	blue
K00604	blue
C01724	yellow
C20372	blue
K02784	blue
K19355	blue
K00013	blue
C02843	blue
K03413	blue
C00141	green
G13191	blue
K06158	blue
K00575	blue
K12214	blue
C04556	blue
K01676	blue
K01666	blue
C01112	blue
K02774	blue
K01267	blue
C05695	blue
K07127	blue
K09817	blue
C16243	blue
K03588	blue
K11175	blue
K01573	blue
C11811	blue
K00052	blue
K00965	blue
K02044	blue
C00636	blue
K07483	blue
K07451	blue
C04154	blue
K02020	blue
K07473	blue
K03544	blue
C04691	blue
C08323	yellow
K03634	blue
K03979	blue
K01756	blue
K01220	blue
K13012	blue
K01354	blue
K02032	blue
K00652	blue
K02982	blue
C00021	blue
C01168	blue
C05198	blue
K02822	blue
C00002	green
C17323	blue
K07150	blue
K02194	blue
C01772	yellow
K00176	blue
K01585	blue
K09787	blue
C00082	yellow
K05970	blue
K07814	blue
K13529	blue
K01686	blue
K18692	blue
C13870	yellow
K01629	blue
C05539	blue
K09769	blue
C19879	blue
C11538	blue
C00036	blue
K07478	blue
K07813	blue
C00483	yellow
K13678	blue
K00690	blue
C00352	blue
K13990	blue
K00712	blue
C02291	blue
C00007	blue
C01289	blue
C06193	blue
K19092	blue
K21449	blue
K00794	blue
C00655	green
K16957	blue
K02454	blue
K09158	blue
K01493	blue
C00763	blue
K06518	blue
K22927	blue
K06898	blue
C00233	blue
C04895	blue
K01661	blue
K11717	blue
C00248	blue
K21473	blue
K01972	blue
K01034	blue
K17073	blue
K11206	blue
K03587	blue
K07260	blue
K07273	blue
K06889	blue
C00275	blue
C08821	yellow
K13051	blue
K01176	blue
K01338	blue
K00275	blue
K00721	blue
K03519	blue
K06410	blue
C05973	blue
K00180	blue
C17949	blue
K02315	blue
K00347	blue
K07717	blue
K10546	blue
K00111	blue
C00561	blue
K01420	blue
K01126	blue
K03190	blue
K12660	blue
C00131	green
C00803	yellow
G10481	blue
K00850	blue
K00949	blue
K10026	blue
K00548	blue
K12452	blue
C01762	green
K09005	blue
K03310	blue
K22015	blue
K11068	blue
K07447	blue
C00204	blue
C03069	blue
C00183	yellow
C01571	green
K12410	blue
C04919	blue
K03800	blue
C00159	green
C19845	blue
K01940	blue
K03641	blue
K22757	blue
K06042	blue
K15586	blue
C00063	blue
K19286	blue
K17836	blue
K03091	blue
K02387	blue
K22441	blue
K11085	blue
K03551	blue
K15531	blue
C00818	blue
C00033	green
K00657	blue
K10010	blue
C04088	blue
K02358	blue
C17322	blue
K01834	blue
K09772	blue
K03217	blue
K18910	blue
K01992	blue
K02535	blue
C02105	yellow
K03719	blue
K02783	blue
K13636	blue
K23004	blue
C05263	blue
C06025	blue
C00416	blue
K01258	blue
C21018	blue
K07726	blue
C00104	blue
K00010	blue
C00049	green
K08972	blue
K21132	blue
C00886	blue
K03501	blue
K04752	blue
C00124	blue
K02189	blue
K03147	blue
K03601	blue
K21011	blue
K02557	blue
C06507	blue
C05817	blue
C00155	blue
K01838	blue
K03644	blue
K16786	blue
K06310	blue
C00993	blue
C09312	yellow
C17223	blue
K05364	blue
K01486	blue
K02045	blue
K02034	blue
K16899	blue
C19859	blue
K21471	blue
C03972	blue
K02619	blue
K00342	blue
K09888	blue
K04077	blue
C09315	yellow
K00974	blue
C01186	blue
K06957	blue
K07789	blue
K07491	blue
C02538	yellow
C00877	blue
K01512	blue
C05848	blue
