	gene_set_1	detected
C00179	True	True
C20906	True	False
C00315	True	False
C21881	True	False
C00077	True	True
C09099	True	False
C00112	True	True
C00121	True	True
C00441	True	False
C03862	True	False
C00504	True	False
C00217	True	False
C20969	True	False
C00068	True	False
C04896	True	False
C03453	True	False
C00009	True	False
C00246	True	True
C04121	True	False
C00530	True	False
C16832	True	False
C19787	True	False
C04702	True	False
C05838	True	False
C02097	True	False
C02047	True	False
C00692	True	False
C22442	True	False
C05762	True	False
C21851	True	False
C00042	True	False
C00048	True	False
C00502	True	False
C01250	True	False
C03492	True	False
C03291	True	False
C20562	True	False
C20395	True	False
C00086	True	False
C20378	True	False
C16220	True	False
C20372	True	False
C14899	True	False
C00509	True	True
C01335	True	False
C19871	True	False
C01097	True	False
C03344	True	False
C01645	True	False
C16633	True	False
C01635	True	False
C05974	True	False
C02843	True	False
C03838	True	False
G13171	True	False
C00966	True	False
C01117	True	False
C21284	True	False
G13118	True	False
C00141	True	True
G13191	True	False
C05125	True	False
C06056	True	False
C04556	True	False
C17549	True	False
C01112	True	False
C17217	True	False
C00446	True	False
C05695	True	False
C01468	True	False
C16243	True	False
C05844	True	False
C03125	True	False
C01113	True	False
C20861	True	False
C01212	True	False
C01142	True	False
C11811	True	False
C02679	True	True
C00636	True	False
C00681	True	False
C00624	True	False
C00178	True	True
C04154	True	False
C00078	True	True
C16242	True	False
C00126	True	False
C00024	True	False
C04691	True	False
C00512	True	False
C03511	True	False
C00258	True	False
C11039	True	False
C01330	True	False
C06103	True	False
C00905	True	False
C00021	True	False
C01168	True	False
C05198	True	False
C05922	True	False
C01419	True	False
C00002	True	True
C17323	True	False
C05261	True	False
C20753	True	False
C15809	True	False
C04751	True	False
C00013	True	False
C00093	True	False
C00108	True	False
C01368	True	False
C02188	True	False
C00053	True	False
C04652	True	False
C00059	True	False
C04666	True	False
C00101	True	False
C04635	True	False
C00546	True	False
C05539	True	False
C00027	True	False
C19879	True	False
C11538	True	False
C00266	True	False
C00036	True	False
C19875	True	False
C00116	True	True
C01092	True	True
C04573	True	False
C06891	True	False
C00352	True	False
C00526	True	True
C02291	True	False
C00007	True	False
C01289	True	False
C06193	True	False
C00242	True	True
C00091	True	False
C00269	True	False
C05688	True	True
C00089	True	True
C00655	True	True
C00763	True	False
C00221	True	False
C00052	True	False
C06113	True	False
C00470	True	False
C19770	True	False
C00233	True	False
C04895	True	False
C00344	True	False
C00311	True	False
C03586	True	False
C00118	True	False
C00248	True	False
C00721	True	False
C20251	True	False
C01909	True	False
C21335	True	False
C05760	True	False
C16219	True	False
C18048	True	False
C00275	True	False
C04122	True	False
C00357	True	False
C16596	True	False
C05973	True	False
C05394	True	False
C16634	True	False
C00689	True	False
C04574	True	False
C20246	True	False
C05698	True	False
C00084	True	False
C20374	True	False
C02429	True	False
C17949	True	False
C00064	True	True
C00561	True	False
C00131	True	True
C05712	True	False
C00861	True	False
G10481	True	False
C00148	True	True
C01762	True	True
C00041	True	True
C04230	True	False
C00204	True	False
C20376	True	False
C05819	True	False
C00001	True	False
C00438	True	False
C00194	True	False
C01571	True	True
C05404	True	False
C16338	True	False
C03069	True	False
C00691	True	False
C04919	True	False
C00159	True	True
C19845	True	False
C21214	True	False
C04039	True	False
C06755	True	False
C21461	True	False
C15979	True	False
C00063	True	False
C00454	True	False
C21955	True	False
C20375	True	False
C21873	True	False
C12215	True	False
C00251	True	False
C00818	True	False
C00033	True	True
C00144	True	True
C00011	True	False
C04088	True	False
C17322	True	False
C06022	True	False
C21008	True	False
C04157	True	False
C00065	True	True
C20752	True	False
C00236	True	False
C02612	True	False
C00693	True	False
C04916	True	False
C05445	True	False
C00984	True	False
C05263	True	False
C05993	True	False
C06025	True	False
C00416	True	False
C01595	True	True
C05840	True	False
C21018	True	False
C05923	True	False
C21015	True	False
C00104	True	False
C04419	True	False
C00049	True	True
C06118	True	False
C20236	True	False
C12248	True	False
C00160	True	False
C18055	True	False
C02183	True	False
C00886	True	False
C04494	True	False
C01962	True	False
C00954	True	True
C15980	True	False
C01290	True	False
C16330	True	False
C11143	True	False
C07836	True	False
C01304	True	False
C00124	True	False
C06507	True	False
G13193	True	False
C21440	True	False
C00319	True	False
C02992	True	False
C00035	True	True
C00155	True	False
C05817	True	False
C00075	True	True
C05199	True	False
C00993	True	False
C00170	True	False
C00008	True	True
C16399	True	False
C17223	True	False
C05259	True	False
C00032	True	False
C04570	True	False
C11417	True	False
C11472	True	False
C00192	True	False
C19859	True	False
C03972	True	False
C04730	True	False
C14090	True	False
C01769	True	False
C19848	True	False
C01077	True	False
C01186	True	False
C01888	True	False
C10447	True	False
C01177	True	False
C00877	True	False
C00345	True	False
C05848	True	False
C04236	True	False
C03089	True	False
C00810	True	False
C00501	True	False
C16619	True	False
C00109	True	True
C05703	True	False
C05382	True	False
C01179	True	False
C00341	True	True
C00627	True	False
C03733	True	False
C00140	True	True
C01228	True	False
C11924	True	False
C00353	True	True
C05379	True	False
C06481	True	False
C00256	True	False
C05775	True	False
C00029	True	False
C00568	True	False
C20390	True	False
C20373	True	False
C03722	True	False
C04501	True	False
C02463	True	False
C20768	True	False
C03539	True	False
C01929	True	False
C04317	True	False
C04257	True	False
C00334	True	True
C00785	True	False
C22159	True	False
C01268	True	False
C01181	True	False
C17219	True	False
C00100	True	False
C00300	True	False
C15667	True	False
C04534	True	False
C17231	True	False
C00860	True	False
C00789	True	False
C03912	True	False
C00138	True	False
C16466	True	False
C06365	True	False
C05527	True	False
C00186	True	False
C21153	True	False
C03871	True	False
C06201	True	False
C02226	True	False
C02745	True	False
C01236	True	False
C04327	True	False
C05763	True	False
C06250	True	False
C06376	True	False
C20062	True	False
C00620	True	False
C00894	True	False
C17017	True	False
C00085	True	False
C00229	True	False
C21178	True	False
C00134	True	True
C00402	True	False
C21999	True	False
C03506	True	False
C00010	True	False
C01151	True	False
C04732	True	False
C00350	True	False
C19880	True	False
C04352	True	False
C04631	True	False
C05577	True	False
C21101	True	False
C15602	True	False
C06024	True	False
C05946	True	False
C15973	True	False
C00060	True	False
C20933	True	False
C00201	True	False
C20836	True	False
C00459	True	True
C00455	True	False
C00378	True	True
C20422	True	False
C00099	True	True
C00931	True	False
C16502	True	False
C16273	True	False
C03406	True	False
C00105	True	True
C05796	True	False
C02659	True	False
C00189	True	True
C00280	True	True
C16618	True	False
C00133	True	False
C02527	True	False
C06441	True	False
C06398	True	False
C00122	True	False
C04807	True	False
C02714	True	False
G10553	True	False
G00108	True	False
C00881	True	True
C02964	True	False
C00117	True	False
C00445	True	False
C03263	True	False
C07838	True	False
C00143	True	False
C22412	True	False
C05751	True	False
C01242	True	False
C00488	True	False
C21751	True	False
G10557	True	False
C11540	True	False
C03167	True	False
C04153	True	False
C00310	True	False
C18237	True	False
C18096	True	False
C15996	True	False
C06112	True	False
C00921	True	False
C02686	True	False
C00944	True	False
C00184	True	True
C05627	True	False
C00415	True	False
C02988	True	False
C00399	True	False
C06032	True	False
C00555	True	False
C04432	True	False
C22160	True	False
C14818	True	False
C05754	True	False
C05768	True	False
C00043	True	False
C05746	True	False
C05951	True	False
C21861	True	False
C03921	True	False
C00083	True	False
C06615	True	False
C17227	True	False
C11827	True	False
C02953	True	False
C00015	True	True
C00168	True	False
C00018	True	False
C04778	True	False
C00327	True	True
C00672	True	False
C03742	True	False
C22443	True	False
G13186	True	False
C16237	True	False
C03892	True	False
C01101	True	False
C21310	True	False
C04377	True	False
C00309	True	False
C05822	True	False
C00180	True	False
C01269	True	False
C00146	True	False
C01744	True	False
C00641	True	False
C00294	True	False
C06397	True	False
C00361	True	True
C20755	True	False
C05894	True	False
C00498	True	False
C00255	True	True
C05223	True	False
C21767	True	False
C22502	True	False
C16698	True	False
C14819	True	False
C04851	True	False
C00080	True	False
C02528	True	False
C16587	True	False
C06054	True	False
C00040	True	False
C00364	True	True
C00473	True	True
C19609	True	False
G13188	True	False
C06547	True	False
C00282	True	False
C05893	True	False
C15495	True	False
C00366	True	False
G01391	True	False
C03127	True	False
C03405	True	False
C19647	True	False
C01132	True	False
C01355	True	False
C05381	True	False
C00718	True	False
C00460	True	True
C00067	True	False
C05402	True	True
C03150	True	False
C00683	True	False
C22438	True	False
C05841	True	False
C05898	True	False
C01118	True	False
C01081	True	False
C14463	True	False
C00424	True	False
C05512	True	False
C00137	True	False
G00092	True	False
C00132	True	False
C00136	True	False
C20858	True	False
C05750	True	False
C00081	True	False
C05824	True	False
C05265	True	False
C02554	True	False
C01138	True	False
C06148	True	False
C15974	True	False
C16400	True	False
C05729	True	False
C00097	True	True
C00631	True	False
C04404	True	False
C20451	True	False
C02987	True	False
C22501	True	False
C07335	True	False
C16244	True	False
C05378	True	False
C17401	True	False
C00039	True	False
C00185	True	False
C02051	True	False
C01176	True	False
C04233	True	False
C04877	True	False
C01219	True	False
C01102	True	False
G10555	True	False
C00208	True	False
C21463	True	False
C00191	True	False
C00356	True	False
C01641	True	False
C00014	True	False
C06114	True	False
C21485	True	False
C05172	True	False
C06503	True	False
C03363	True	False
C01931	True	False
C11481	True	False
C00262	True	True
C00679	True	False
C00519	True	False
C06320	True	False
C11404	True	False
C00558	True	False
C00054	True	False
C06377	True	False
C06128	True	False
C18094	True	False
C03589	True	False
C00669	True	False
C02084	True	False
C12455	True	False
C15810	True	False
C00074	True	False
C03375	True	False
C04462	True	False
C15930	True	False
C00006	True	False
C00037	True	True
C00212	True	True
C19771	True	False
C04287	True	False
C02315	True	False
C20238	True	False
C00026	True	False
C00231	True	False
C21878	True	False
C00647	True	False
C00704	True	False
C03294	True	False
C15978	True	False
C00615	True	False
C00492	True	False
C05726	True	False
C00322	True	False
G09660	True	False
C19878	True	False
C01187	True	False
C06416	True	False
G13039	True	False
C18796	True	False
C00536	True	False
C00559	True	True
C04294	True	True
C05850	True	False
C11435	True	False
C01345	True	False
C19085	True	False
C00644	True	False
C15556	True	False
C00535	True	True
C00020	True	True
C00508	True	False
C00022	True	False
C01170	True	False
C21152	True	False
C01083	True	False
C00385	True	True
C16519	True	False
C03232	True	False
C00531	True	False
C16615	True	False
C01096	True	False
C04582	True	False
C05640	True	False
C02946	True	False
C11173	True	False
C01107	True	False
C00673	True	False
C05396	True	False
C03287	True	False
C00016	True	False
C02702	True	False
C06251	True	False
C04932	True	False
C05335	True	False
C04006	True	False
C19745	True	False
C04646	True	False
C22161	True	False
C00071	True	False
C00436	True	True
C15603	True	False
C15977	True	False
C08325	True	False
C04144	True	False
C06364	True	False
C02967	True	False
C05336	True	False
C00062	True	True
G13180	True	False
C01080	True	False
C03512	True	False
C00576	True	False
C00055	True	True
C00139	True	False
C00069	True	False
C00342	True	False
C00962	True	False
C21879	True	False
C19723	True	False
C03794	True	False
C00237	True	False
C00302	True	False
C00095	True	False
C03785	True	False
C02412	True	False
C05235	True	False
C04438	True	False
G13163	True	False
C00332	True	False
C20641	True	False
C04677	True	False
C00475	True	True
C00190	True	False
C00164	True	True
C02323	True	False
C00376	True	True
C20751	True	False
C00343	True	False
C02163	True	False
C02282	True	False
C02713	True	False
C04332	True	False
C16631	True	False
C02939	True	False
C01190	True	False
C01205	True	False
C20863	True	False
C00957	True	False
C16489	True	False
C03373	True	False
C02741	True	False
C00004	True	False
C20345	True	False
C00120	True	False
C00695	True	True
C00222	True	False
C00582	True	False
C00154	True	False
C15547	True	False
G11160	True	False
C00252	True	False
C00887	True	False
C00092	True	False
C00129	True	True
C00114	True	True
C20769	True	False
C21334	True	False
C21453	True	False
C05897	True	False
C01045	True	False
C00234	True	False
C00169	True	False
C00380	True	True
C00369	True	False
C02269	True	False
C11453	True	False
C03740	True	False
C00188	True	True
C00025	True	True
C06311	True	False
C00031	True	True
C02133	True	False
C00667	True	False
C04152	True	False
C00527	True	False
C06423	True	True
G13061	True	False
C00979	True	False
C04132	True	False
C02170	True	False
C09332	True	False
C01134	True	False
C20796	True	False
C00195	True	False
C00458	True	True
C00617	True	False
C04823	True	False
C15976	True	False
C04832	True	False
C00152	True	True
C02352	True	False
C15814	True	False
G13179	True	False
C00764	True	False
C11406	True	False
C11436	True	False
C00387	True	True
C07479	True	False
C00047	True	True
C03161	True	False
C01528	True	False
C01037	True	False
C05753	True	False
C21462	True	False
C03684	True	False
C05744	True	False
C02553	True	False
C00630	True	False
C01172	True	False
C01898	True	False
C06157	True	False
C00153	True	True
C01279	True	False
C03028	True	False
C00663	True	False
C05345	True	False
C02835	True	False
C15587	True	False
C06614	True	False
C00103	True	False
C11420	True	False
C00857	True	False
C21387	True	False
C01755	True	False
C21065	True	False
C00798	True	False
C00058	True	True
C04133	True	False
C00094	True	False
C01721	True	False
C03160	True	False
G10545	True	False
C00061	True	False
C21877	True	False
G10665	True	False
C05773	True	False
C00283	True	False
C03175	True	False
C05924	True	False
C05269	True	False
C22441	True	False
C06188	True	False
C05758	True	False
C04506	True	False
C00030	True	False
C04644	True	False
C00363	True	True
C05921	True	False
C00680	True	False
C09306	True	False
C01346	True	False
C00003	True	False
C04146	True	True
C00245	True	False
C21113	True	False
C03431	True	False
C00330	True	False
C00145	True	False
C02972	True	False
C01131	True	False
C02888	True	False
C06504	True	False
C05980	True	False
C10208	True	True
C19882	True	False
C00219	True	True
C16236	True	False
C02642	True	False
C04334	True	False
C01094	True	False
C00390	True	False
C20446	True	False
C02839	True	False
C20377	True	False
C00165	True	False
C16221	True	False
C04349	True	False
C00705	True	True
C11542	True	False
C16565	True	False
C00214	True	False
C00199	True	False
C00249	True	True
C04051	True	False
C15975	True	False
C00354	True	False
C02631	True	False
C11062	True	False
C00198	True	False
C01801	True	False
C00842	True	False
C21029	True	False
G13177	True	False
C03345	True	False
C00685	True	False
C03508	True	False
C06408	True	False
C22458	True	False
C22092	True	False
C04442	True	False
C02995	True	False
C00299	True	True
C05267	True	False
C05748	True	False
C02430	True	False
C06509	True	False
C02984	True	False
C01935	True	False
C00882	True	False
C16551	True	False
C00794	True	False
C04216	True	True
C00044	True	True
C01024	True	False
C00448	True	True
C06563	True	True
C04882	True	False
C06508	True	False
G13060	True	False
C06224	True	False
C01267	True	False
C12739	True	False
C00461	True	False
C04376	True	False
C19673	True	False
C03741	True	False
C16186	True	False
C14099	True	False
C21749	True	False
C12632	True	False
C16470	True	False
C06102	True	False
C00253	True	True
C01327	True	False
C00409	True	False
C04260	True	False
C00135	True	True
C21880	True	False
C05711	True	False
G13175	True	False
C00206	True	False
C04188	True	False
C00125	True	False
C17213	True	False
C01051	True	False
C01367	True	False
C02504	True	False
C00804	True	False
G13164	True	False
C19078	True	False
C01885	True	False
C18040	True	False
C03541	True	False
G10619	True	False
C00119	True	False
C05686	True	False
C00279	True	False
C02415	True	False
C20239	True	False
C01209	True	False
C05983	True	False
G00177	True	False
C02338	True	False
C01222	True	False
C00079	True	False
C04640	True	False
C03460	True	False
C02336	True	False
C00244	True	False
C00167	True	False
C04824	True	False
C15812	True	False
C05528	True	False
C03341	True	False
C00250	True	True
C05635	True	False
G13200	True	False
C05809	True	False
C00577	True	False
C04752	True	False
C00295	True	False
C00638	True	False
C00166	True	False
C01674	True	False
C19846	True	False
C04738	True	False
C00073	True	True
C11638	True	False
C04554	True	False
C07086	True	False
C05312	True	False
C02218	True	False
C11543	True	False
C20237	True	False
C00741	True	False
C11907	True	False
C00088	True	False
C05271	True	False
C00593	True	False
C01352	True	False
C15811	True	False
C00161	True	False
C05699	True	False
C07490	True	False
C05684	True	False
C02232	True	False
C20248	True	False
C00668	True	False
