gene0 K07009
gene1 K13818
gene2 K01775
gene3 K02231
gene4 K15792
gene5 K02778
gene6 K01798
gene7 K02233
gene8 K21344
gene9 K06920
gene10 K02804
gene11 K09882
gene12 K25814
gene13 K02588
gene14 K19405
gene15 K15372
gene16 K02779
gene17 K05780
gene18 K00880
gene19 K00806
gene20 K06166
gene21 K19697
gene22 K09001
gene23 K19712
gene24 K02586
gene25 K00874
gene26 K06864
gene27 K01921
gene28 K00531
gene29 K09758
gene30 K00881
gene31 K03367
gene32 K00566
gene33 K13930
gene34 K19726
gene35 K00929
gene36 K03272
gene37 K00005
gene38 K08693
gene39 K03752
gene40 K01924
gene41 K01843
gene42 K02591
gene43 K23144
gene44 K19709
gene45 K01034
gene46 K01779
gene47 K02795
gene48 K02227
gene49 K04075
gene50 K01902
gene51 K00932
gene52 K00973
gene53 K13059
gene54 K01925
gene55 K03800
gene56 K23756
gene57 K13927
gene58 K01912
gene59 K02230
gene60 K06165
gene61 K05966
gene62 K04343
gene63 K02810
gene64 K08722
gene65 K02232
gene66 K02794
gene67 K00925
gene68 K01928
gene69 K10710
gene70 K06164
gene71 K23393
gene72 K24707
gene73 K02224
gene74 K01739
gene75 K21345
gene76 K01910
gene77 K18126
gene78 K12570
gene79 K20118
gene80 K02777
gene81 K00883
gene82 K00848
gene83 K13571
gene84 K01903
gene85 K02791
gene86 K07031
gene87 K14188
gene88 K02796
gene89 K00853
gene90 K01026
gene91 K01589
gene92 K02225
gene93 K01929
gene94 K02793
gene95 K01035
gene96 K09883
