	0
K24427	yellow
K06225	yellow
K01246	green
C03272	green
G10598	yellow
K02537	yellow
K09585	yellow
C00818	green
K03176	yellow
K06574	yellow
K26543	yellow
K16495	yellow
K15591	yellow
K09995	yellow
K06632	yellow
K20790	yellow
C16332	yellow
C20751	green
K09939	blue
G13025	yellow
K02901	yellow
K25201	yellow
K05531	yellow
K10484	yellow
K09624	yellow
K01265	green
K18194	yellow
K17634	yellow
K00688	green
K04344	yellow
K02825	blue
K21598	yellow
K09698	blue
C20681	yellow
K01904	yellow
C02843	green
C00546	green
K00015	blue
K03879	yellow
K17751	yellow
K06057	yellow
K14302	yellow
K23203	yellow
K03260	yellow
C12144	yellow
K17925	yellow
K20195	yellow
C19591	yellow
K01188	yellow
K22913	yellow
K03394	blue
K02324	yellow
K06947	yellow
K01745	green
G02515	yellow
C05956	yellow
C15979	green
K14802	yellow
K00339	blue
K16944	yellow
K11427	yellow
K10779	yellow
K16545	yellow
K03945	yellow
K18755	yellow
K07175	blue
K11731	yellow
K10998	yellow
K10737	yellow
K07820	yellow
C15486	yellow
K14994	yellow
K19464	yellow
K04279	yellow
K01470	blue
C08628	yellow
K05917	yellow
C00300	green
K23553	yellow
K22044	blue
K05048	yellow
K03193	yellow
K10349	yellow
C17219	green
K22399	yellow
K14260	blue
K04358	yellow
K23731	yellow
K02583	yellow
K04703	yellow
K02184	yellow
G00392	yellow
K15326	yellow
K26746	yellow
C00940	yellow
K25431	yellow
C22136	yellow
K02678	yellow
K00003	green
K21775	yellow
K27474	yellow
K04377	yellow
K18032	yellow
K11793	yellow
K06133	green
C09306	blue
K19970	yellow
C12137	yellow
K22116	blue
K16950	blue
K14919	yellow
K08656	yellow
K00512	yellow
K27149	yellow
K20867	yellow
C05360	yellow
K18468	yellow
K01164	yellow
K24916	yellow
K15711	yellow
K17563	yellow
K05146	yellow
K24977	yellow
C00025	green
K06834	yellow
K06526	yellow
C21881	blue
K13168	yellow
K12301	yellow
K15734	yellow
K16657	yellow
K04598	yellow
G00370	yellow
K10695	yellow
K09855	yellow
K19906	yellow
K01410	yellow
K26679	yellow
G00076	yellow
K19052	blue
K00738	yellow
K05751	yellow
K06148	blue
K00820	green
K15704	yellow
K12622	yellow
C00267	green
K17457	yellow
K04146	yellow
K09523	yellow
C10208	green
K02971	yellow
K06782	yellow
K04070	blue
K25509	yellow
K04819	yellow
K20358	yellow
K00850	green
K05201	yellow
K22521	yellow
K06752	yellow
G00140	yellow
K22752	yellow
K00765	green
K12524	green
K01487	green
K03211	yellow
G00066	yellow
K15363	yellow
K10401	yellow
K07179	yellow
K00013	green
K00225	yellow
K07816	blue
K03906	yellow
K14591	blue
C06118	green
K24270	yellow
K06628	yellow
K04881	yellow
K20892	yellow
K10269	yellow
K22144	yellow
K06950	green
K26459	yellow
K04011	yellow
K14078	yellow
K01691	yellow
K06975	green
K06921	blue
K01189	yellow
K18139	blue
K08556	yellow
K16903	yellow
K17686	green
K23505	yellow
C00028	green
K25758	yellow
K09557	yellow
K18451	yellow
K04938	yellow
K11157	yellow
K24895	yellow
K19383	yellow
C03838	green
K04901	yellow
C05212	yellow
K00326	yellow
C05974	green
K27796	yellow
C03845	yellow
K02111	green
K06754	yellow
K24994	yellow
K08827	yellow
K05761	yellow
K02190	blue
K15375	yellow
K24796	yellow
K20493	yellow
K01510	yellow
K03550	blue
C21485	blue
K08733	yellow
K08452	yellow
K27096	yellow
K17656	yellow
K10692	yellow
K24790	yellow
K06850	yellow
K18341	yellow
K04205	yellow
K15770	blue
K19600	yellow
K15338	yellow
C16217	yellow
K04343	blue
K21814	green
K27701	yellow
K27208	yellow
K07099	blue
K18082	yellow
K05752	yellow
K10789	yellow
K17920	yellow
G13152	yellow
K12822	yellow
K08518	yellow
K05008	yellow
C05831	yellow
C04063	yellow
K07373	yellow
K16669	yellow
K02711	yellow
K04516	blue
K13209	yellow
C15814	green
C16739	yellow
K15360	yellow
K02798	blue
K17288	yellow
K12388	yellow
K21878	yellow
K21868	yellow
K05725	yellow
C02183	blue
K17478	yellow
C00576	green
K05092	yellow
K12350	yellow
K00995	green
K12847	yellow
K09764	blue
K24140	yellow
K07056	green
C00859	yellow
K14003	yellow
K00559	yellow
K17725	yellow
K16075	yellow
K19951	yellow
K15216	yellow
K09659	yellow
C01920	yellow
C21072	yellow
K25868	yellow
K15030	yellow
K02695	yellow
K24830	yellow
C15858	yellow
K12568	yellow
C06037	yellow
K10278	yellow
K24738	yellow
K11276	yellow
K24692	yellow
G00145	yellow
C11830	yellow
K16774	yellow
K00912	green
C21459	yellow
K16686	yellow
K12947	yellow
K25411	yellow
K24768	yellow
