compound1,compound2,reaction,KOs
C00459,C00363,R02095,"K01510,K14641,K14642"
C00459,C00009,R02095,"K01510,K14641,K14642"
C00001,C00363,R02095,"K01510,K14641,K14642"
C00001,C00009,R02095,"K01510,K14641,K14642"
C02139,C16540,R08203,K13600
C02139,C00001,R08203,K13600
C02139,C00006,R08203,K13600
C00007,C16540,R08203,K13600
C00007,C00001,R08203,K13600
C00007,C00006,R08203,K13600
C00005,C16540,R08203,K13600
C00005,C00001,R08203,K13600
C00005,C00006,R08203,K13600
C00080,C16540,R08203,K13600
C00080,C00001,R08203,K13600
C00080,C00006,R08203,K13600
C02504,C02631,R03968,"K01702,K01703,K01704,K21359"
C02504,C00001,R03968,"K01702,K01703,K01704,K21359"
C00002,C00008,R03286,K14755
C00002,C00009,R03286,K14755
C00002,C01262,R03286,K14755
C01152,C00008,R03286,K14755
C01152,C00009,R03286,K14755
C01152,C01262,R03286,K14755
C00099,C00008,R03286,K14755
C00099,C00009,R03286,K14755
C00099,C01262,R03286,K14755
C00002,C00008,R04241,"K01930,K11754,K22099"
C00002,C00009,R04241,"K01930,K11754,K22099"
C00002,C03541,R04241,"K01930,K11754,K22099"
C03541,C00008,R04241,"K01930,K11754,K22099"
C03541,C00009,R04241,"K01930,K11754,K22099"
C03541,C03541,R04241,"K01930,K11754,K22099"
C00025,C00008,R04241,"K01930,K11754,K22099"
C00025,C00009,R04241,"K01930,K11754,K22099"
C00025,C03541,R04241,"K01930,K11754,K22099"
C18239,C05924,R09395,"K03635,K21142"
C18239,C15810,R09395,"K03635,K21142"
C15814,C05924,R09395,"K03635,K21142"
C15814,C15810,R09395,"K03635,K21142"
C05324,C15486,R07277,K14271
C05324,C00025,R07277,K14271
C00026,C15486,R07277,K14271
C00026,C00025,R07277,K14271
C11542,C11543,R05812,K05895
C11542,C00003,R05812,K05895
C00004,C11543,R05812,K05895
C00004,C00003,R05812,K05895
C00080,C11543,R05812,K05895
C00080,C00003,R05812,K05895
C00007,C15798,R07454,"K09587,K12639"
C00007,C03161,R07454,"K09587,K12639"
C00007,C00001,R07454,"K09587,K12639"
C03024,C15798,R07454,"K09587,K12639"
C03024,C03161,R07454,"K09587,K12639"
C03024,C00001,R07454,"K09587,K12639"
C16321,C16324,R07865,K01723
C16321,C00001,R07865,K01723
C22119,C22122,R12375,K23558
C22119,C00004,R12375,K23558
C22119,C00011,R12375,K23558
C22119,C00080,R12375,K23558
C00003,C22122,R12375,K23558
C00003,C00004,R12375,K23558
C00003,C00011,R12375,K23558
C00003,C00080,R12375,K23558
C00114,C00576,R01025,K00108
C00114,C00030,R01025,K00108
C00028,C00576,R01025,K00108
C00028,C00030,R01025,K00108
C00053,C00054,R03405,K01015
C00053,C04555,R03405,K01015
C01227,C00054,R03405,K01015
C01227,C04555,R03405,K01015
C00350,C00641,R05924,"K05287,K05310"
C00051,C14868,R07100,"K00799,K04097,K13299,K23790"
C00051,C01327,R07100,"K00799,K04097,K13299,K23790"
C00001,C03723,R08363,"K10807,K10808"
C00001,C16663,R08363,"K10807,K10808"
C00063,C00013,R04215,"K00983,K21749"
C00063,C03691,R04215,"K00983,K21749"
C00416,C00641,R02239,"K01080,K15728,K18693"
C00416,C00009,R02239,"K01080,K15728,K18693"
C00001,C00641,R02239,"K01080,K15728,K18693"
C00001,C00009,R02239,"K01080,K15728,K18693"
C00011,C05848,R04985,"K03182,K03186"
C16681,C15493,R08385,K07249
C16681,C00004,R08385,K07249
C16681,C00080,R08385,K07249
C00003,C15493,R08385,K07249
C00003,C00004,R08385,K07249
C00003,C00080,R08385,K07249
C00001,C15493,R08385,K07249
C00001,C00004,R08385,K07249
C00001,C00080,R08385,K07249
C16618,C16619,R08244,K01951
C16618,C00020,R08244,K01951
C16618,C00013,R08244,K01951
C16618,C00025,R08244,K01951
C00002,C16619,R08244,K01951
C00002,C00020,R08244,K01951
C00002,C00013,R08244,K01951
C00002,C00025,R08244,K01951
C00064,C16619,R08244,K01951
