c_id,name,origin
C04930,"N-Acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R",yellow
C14775,"14,15-DHET; (5Z,8Z,11Z)-14,15-Dihydroxyeicosa-5,8,11-trienoic acid; (5Z,8Z,11Z)-14,15-Dihydroxyicosa-5,8,11-trienoic acid",yellow
C06056,4-Hydroxy-L-threonine; Hydroxythreonine,green
C00700,XTP; Xanthosine 5'-triphosphate,yellow
C05951,Leukotriene D4; LTD4,green
C02612,(R)-2-Methylmalate; (R)-2-Methylmalic acid; (R)-Citramalate; (R)-Citramalic acid; (R)-alpha-Hydroxypyrotartaric acid; D-Citramalate; D-Citramalic acid; D-alpha-Hydroxypyrotartaric acid; (2R)-2-Hydroxy-2-methylbutanedioate,blue
C03287,L-Glutamyl 5-phosphate; L-Glutamate 5-phosphate,green
C00882,Dephospho-CoA; Dephosphocoenzyme A; 3'-Dephospho-CoA,green
C02061,Plastoquinone,yellow
C03431,S-Inosyl-L-homocysteine,blue
C14463,(R)-3-Hydroxy-3-methyl-2-oxopentanoate; (R)-3-Hydroxy-3-methyl-2-oxopentanoic acid,green
C08285,"10,16-Dihydroxyhexadecanoic acid; Hexadecanoic acid, 10,16-dihydroxy-",yellow
C18239,Precursor Z; Cyclic pyranopterin monophosphate; Cyclic pyranopterin phosphate; cPMP,green
C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate; 6-Phospho-2-dehydro-3-deoxy-D-gluconate; 2-Keto-3-deoxy-6-phosphogluconate; 2-Dehydro-3-deoxy-D-gluconate 6-phosphate,blue
C00751,Squalene; Spinacene; Supraene,yellow
C22122,"Episterone; 5alpha-Ergosta-7,24(28)-dien-3-one",yellow
C03221,2-trans-Dodecenoyl-CoA; (2E)-Dodec-2-enoyl-CoA; (2E)-Dodecenoyl-CoA,yellow
C01747,Psychosine; Galactosylsphingosine; O-Galactosylsphingosine,yellow
C11061,all-trans-Retinoyl-beta-glucuronide; Retinoyl glucuronide,yellow
C16075,(Z)-Phenylacetaldehyde oxime; Z-Phenylacetaldoxime,yellow
C00671,(S)-3-Methyl-2-oxopentanoic acid; (S)-3-Methyl-2-oxopentanoate; (3S)-3-Methyl-2-oxopentanoic acid; (3S)-3-Methyl-2-oxopentanoate,green
C05454,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha,12alpha-triol; 3alpha,7alpha,12alpha-Trihydroxycoprostane",yellow
C16168,"(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA",yellow
C00159,D-Mannose; Mannose; Seminose; Carubinose; D-Mannopyranose,green
C16254,[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine; S-Succinyldihydrolipoamide-E; Enzyme N6-(S-succinyldihydrolipoyl)lysine,green
C03453,gamma-Oxalocrotonate; (Z)-5-Oxohex-2-enedioate; 4-Oxalocrotonate; (2Z)-5-Oxohex-2-enedioic acid,blue
C05545,"Protein N6,N6-dimethyl-L-lysine",yellow
C19624,22-Oxodocosanoate,yellow
C04840,3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate,yellow
C21797,"all-trans-3,4-Didehydroretinol; Vitamin A2",yellow
C20378,Enoylpimeloyl-[acp] methyl ester; Enoylpimeloyl-[acyl-carrier protein] methyl ester,green
C02591,Sucrose 6'-phosphate; Sucrose 6F-phosphate,yellow
C18055,N-Acetyl-alpha-D-hexosamine 1-phosphate,blue
C19714,(E)-Phenylacetaldoxime; (E)-Phenylacetaldehyde oxime,yellow
C00780,Serotonin; 3-(2-Aminoethyl)-1H-indol-5-ol; 5-Hydroxytryptamine; Enteramine,yellow
C21381,Anthocyanidin with a 3-hydroxy group,yellow
C02530,Cholesterol ester,yellow
C15978,2-Methyl-1-hydroxybutyl-ThPP; 2-Methyl-1-hydroxybutyl-TPP,green
C00644,D-Mannitol 1-phosphate,blue
C21861,[Protein]-dehydroalanine,green
C08830,"24-Methylidenecycloartanol; 4alpha,4beta,14alpha-Trimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-3beta-ol; 24-Methylenecycloartanol; 9,19-Cyclolanostan-3-o1, 24-methylene-, (3beta)-",yellow
C16541,Chlorophyllide b,yellow
C02960,Ceramide 1-phosphate; Ceramide phosphate,yellow
C05850,Reduced Vitamin K; Vitamin K hydroquinone,green
C00041,L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine,green
C01220,"1D-myo-Inositol 1,4-bisphosphate; D-myo-Inositol 1,4-bisphosphate; myo-Inositol 1,4-bisphosphate; Inositol 1,4-bisphosphate",yellow
C05466,Glycochenodeoxycholate; Glycochenodeoxycholic acid; Chenodeoxyglycocholate,yellow
C03428,Presqualene diphosphate,yellow
C22831,"5alpha-Pregnan-17alpha-ol-3,20-dione",yellow
C05796,Galactan,green
C14810,"Hepoxilin B3; (5Z,8Z,14Z)-(11S,12S)-11,12-Epoxy-10-hydroxyeicosa-5,8,14-trienoic acid; (5Z,8Z,14Z)-(11S,12S)-11,12-Epoxy-10-hydroxyicosa-5,8,14-trienoic acid",yellow
C07479,2-Oxo-5-methyl-cis-muconate,blue
C16545,Tamoxifen N-oxide,yellow
C00074,Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP,green
C02843,Long-chain acyl-CoA; Long-chain-fatty acyl-CoA,green
C00410,"Progesterone; 4-Pregnene-3,20-dione",green
C06188,Salicin 6-phosphate; Salicin-6P,blue
C11133,Estrone glucuronide; Estrone 3-glucuronide; Estrone beta-D-glucuronide,yellow
C01035,4-Guanidinobutanoate; 4-Guanidinobutyric acid,yellow
C04919,"2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate; 2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate; Lipid A disaccharide bisphosphate; Lipid IV(A); Lipid IVA; 2-Deoxy-2-{[(3R)-3-hydroxytetradecanoyl]amino}-3-O-[(3R)-3-hydroxytetradecanoyl]-4-O-phospho-beta-D-glucopyranosyl-(1->6)-2-deoxy-3-O-[(3R)-3-hydroxytetradecanoyl]-2-{[(3R)-3-hydroxytetradecanoyl]amino}-1-O-phospho-alpha-D-glucopyranose",green
C14851,"Benzo[a]pyrene-4,5-oxide; Benzo[a]pyrene-4,5-epoxide",yellow
C01211,"Procollagen 5-hydroxy-L-lysine; Procollagen L-erythro-5-hydroxylysine; [Procollagen]-(2S,5R)-5-hydroxy-L-lysine",yellow
C00166,Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate,green
C05202,3'-Hydroxy-N-methyl-(S)-coclaurine; (S)-3'-Hydroxy-N-methylcoclaurine,yellow
C04732,"5-Amino-6-(1-D-ribitylamino)uracil; 5-Amino-6-(D-ribitylamino)uracil; 6-(1-D-Ribitylamino)-5-amino-2,4-dihydroxypyrimidine; 6-(1-D-Ribitylamino)-5-aminouracil; 4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine",green
C01697,Galactitol; Dulcitol; Dulcose,yellow
C00232,Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate,yellow
C05109,"24,25-Dihydrolanosterol",yellow
C01092,8-Amino-7-oxononanoate; 8-Amino-7-oxononanoic acid; 7-Keto-8-aminopelargonic acid; KAPA,green
C20159,"7-epi-alpha-Selinene; (-)-7-epi-alpha-Selinene; (2S,4aR,8aR)-4a,8-Dimethyl-2-(prop-1-en-2-yl)-1,2,3,4,4a,5,6,8a-octahydronaphthalene",yellow
C00493,"Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid",yellow
C01678,Cysteamine; 2-Aminoethanethiol; beta-Aminoethanethiol; beta-Mercaptoethylamine; Mercaptamine; Thioethanolamine,yellow
C00860,L-Histidinol,green
C08821,Isofucosterol; Delta5-Avenasterol,yellow
C15500,Mugineic acid,yellow
C00555,4-Aminobutyraldehyde; 4-Aminobutanal,green
C00218,Methylamine; Methanamine,yellow
C22966,C22966; GPI-anchor biosynthesis intermediate 4,yellow
C20121,"trans,trans-Farnesyl phosphate; Farnesyl phosphate; (2E,6E)-Farnesyl phosphate",yellow
C12634,Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside; Kaempferol 3-O-beta-D-sophoroside; Sophoraflavonoloside,yellow
C05446,"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetraol; 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol",yellow
C11556,"1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate; 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',5'-bisphosphate)",yellow
C11827,[GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-A2pm-D-Ala-D-Ala)]n-diphosphoundecaprenol; [GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-A2pm-D-Ala-D-Ala)]n+1-diphosphoundecaprenol,blue
C14749,19(S)-HETE; (19S)-Hydroxyeicosatetraenoic acid; (19S)-Hydroxyicosatetraenoic acid; (19S)-Hydroxy arachidonic acid,yellow
C05744,Acetoacetyl-[acp]; Acetoacetyl-[acyl-carrier protein],green
C21189,"Protein N(omega),N(omega)'-dimethyl-L-arginine; Protein symmetric dimethylarginine",yellow
C01213,(R)-Methylmalonyl-CoA; L-Methylmalonyl-CoA,yellow
C00533,Nitric oxide; NO; Nitrogen monoxide,yellow
C03272,"Globoside; Globoside I; N-Acetyl-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide; N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide",green
C00072,Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C,yellow
C15520,"Cholest-5-ene-3beta,7alpha,25-triol; 7alpha,25-Dihydroxycholesterol; 5-Cholesten-3beta,7alpha,25-triol; 3beta,7alpha,25-Trihydroxycholest-5-ene",yellow
C05442,Stigmasterol,yellow
C11143,Dimethyl sulfoxide; DMSO,blue
C20454,(-)-Lariciresinol,yellow
C07446,Isonicotinic acid,yellow
C21879,1-(5-O-Phospho-beta-D-ribofuranosyl)-5-(sulfanylcarbonyl)pyridin-1-ium-3-carbonyl adenylate,blue
