	gene_set_1	gene_set_2	detected
C05161	True	False	False
C19848	True	True	False
C03733	True	False	False
C15812	True	True	False
G13177	True	False	False
C00244	True	True	False
C21018	True	True	False
C07836	True	False	False
C06187	True	False	False
C00454	True	True	False
C00810	True	False	False
C17949	True	False	False
C18796	True	True	False
C05753	True	True	False
C03506	True	True	False
C03862	True	True	False
C00356	True	True	False
C00389	True	True	True
C03341	True	False	False
C16634	True	True	False
C04132	True	True	False
C00108	True	True	False
C06056	True	True	False
C03794	True	True	False
C01077	True	False	False
C02226	True	True	False
G13061	True	True	False
C00704	True	True	False
C00077	True	True	True
C19875	True	True	False
C19847	True	False	False
C05894	True	False	False
C00055	True	True	True
C04088	True	True	False
C05172	True	True	False
C02679	True	True	True
C05684	True	True	False
C04574	True	False	False
C04144	True	True	False
C03402	True	True	False
C05810	True	False	False
C14818	True	True	False
C06224	True	False	False
C15495	True	False	False
C02430	True	True	False
C22412	True	False	False
C00186	True	False	False
C00022	True	True	False
C00092	True	True	False
C05951	True	True	False
C01762	True	True	True
C00033	True	True	True
C00627	True	True	False
C20641	True	True	False
C03912	True	True	False
C06010	True	True	False
C02612	True	False	False
C03287	True	True	False
C17322	True	False	False
C15811	True	True	False
C00035	True	True	True
C13952	True	False	False
C00882	True	True	False
C01885	True	True	False
C04404	True	False	False
G00177	True	False	False
C05640	True	True	False
C20390	True	False	False
C00001	True	True	False
C14819	True	True	False
C00962	True	True	False
C21008	True	True	False
C15974	True	True	False
C00647	True	True	False
C04006	True	True	False
C00126	True	True	False
C00178	True	True	True
C16348	True	True	False
G01391	True	True	False
C21873	True	False	False
C20958	True	False	False
C04751	True	False	False
C03431	True	False	False
C00721	True	True	False
C14463	True	True	False
C00501	True	False	False
C16338	True	True	False
C05699	True	True	False
C05539	True	False	False
C00683	True	True	False
C18239	True	True	False
C22092	True	False	False
C05838	True	True	False
C02163	True	True	False
C19846	True	True	False
C01935	True	True	False
C00864	True	True	False
C00502	True	False	False
C03684	True	True	False
C00415	True	True	False
C04691	True	True	False
C00455	True	True	False
C00617	True	True	False
