compound1,compound2,reaction,KOs
C00262,C00385,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C00262,C00004,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C00262,C00080,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C00003,C00385,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C00003,C00004,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C00003,C00080,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C00001,C00385,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C00001,C00004,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C00001,C00080,R01768,"K00087,K00106,K11177,K11178,K13479,K13480,K13481,K13482,K13483"
C05729,C05726,R04951,"K01255,K01256,K01270,K07751,K11140,K11142,K15428"
C05729,C00037,R04951,"K01255,K01256,K01270,K07751,K11140,K11142,K15428"
C00001,C05726,R04951,"K01255,K01256,K01270,K07751,K11140,K11142,K15428"
C00001,C00037,R04951,"K01255,K01256,K01270,K07751,K11140,K11142,K15428"
C00003,C16587,R08306,"K00001,K00121,K13951,K13952,K13953,K13980"
C00003,C00004,R08306,"K00001,K00121,K13951,K13952,K13953,K13980"
C00003,C00080,R08306,"K00001,K00121,K13951,K13952,K13953,K13980"
C00003,C00804,R02940,"K00128,K00149,K14085"
C00003,C00004,R02940,"K00128,K00149,K14085"
C00003,C00080,R02940,"K00128,K00149,K14085"
C00001,C00804,R02940,"K00128,K00149,K14085"
C00001,C00004,R02940,"K00128,K00149,K14085"
C00001,C00080,R02940,"K00128,K00149,K14085"
C00160,C00048,R00476,"K00104,K11472,K11473"
C00160,C00030,R00476,"K00104,K11472,K11473"
C00028,C00048,R00476,"K00104,K11472,K11473"
C00028,C00030,R00476,"K00104,K11472,K11473"
C00080,C00011,R10092,"K01672,K01673,K01674,K01743,K18245,K18246"
C00080,C00001,R10092,"K01672,K01673,K01674,K01743,K18245,K18246"
C01118,C00155,R01288,"K01739,K10764"
C01118,C00042,R01288,"K01739,K10764"
C00283,C00155,R01288,"K01739,K10764"
C00283,C00042,R01288,"K01739,K10764"
C02320,C05729,R03916,"K00681,K18592"
C02320,C00025,R03916,"K00681,K18592"
C00001,C05729,R03916,"K00681,K18592"
C00001,C00025,R03916,"K00681,K18592"
C00055,C00380,R00510,K06966
C00055,C00117,R00510,K06966
C00001,C00380,R00510,K06966
C00001,C00117,R00510,K06966
C00002,C00008,R00497,"K01920,K21456"
C00002,C00009,R00497,"K01920,K21456"
C00002,C00051,R00497,"K01920,K21456"
C00669,C00008,R00497,"K01920,K21456"
C00669,C00009,R00497,"K01920,K21456"
C00669,C00051,R00497,"K01920,K21456"
C00037,C00008,R00497,"K01920,K21456"
C00037,C00009,R00497,"K01920,K21456"
C00037,C00051,R00497,"K01920,K21456"
C00052,C03733,R00505,K01854
C00010,C00024,R00351,"K01647,K01659,K05942,K27797"
C00010,C00001,R00351,"K01647,K01659,K05942,K27797"
C00010,C00036,R00351,"K01647,K01659,K05942,K27797"
C00350,C00165,R11555,K03760
C00350,C21461,R11555,K03760
C06026,C00165,R11555,K03760
C06026,C21461,R11555,K03760
C00051,C14856,R07084,"K00799,K04097,K13299,K23790"
C00051,C00001,R07084,"K00799,K04097,K13299,K23790"
C00001,C00561,R02558,"K01188,K05349,K05350,K13032"
