c_id,name,origin
C02170,Methylmalonate; Methylmalonic acid,blue
C22453,trans-Anhydromevalonate 5-phosphate; trans-Anhydromevalonate phosphate; tAHMP; (2E)-3-Methyl-5-phosphooxypent-2-enoate,blue
C06755,Chloroacetic acid; Chloroethanoic acid,blue
C02939,3-Methylbutanoyl-CoA; Isovaleryl-CoA,blue
C00117,D-Ribose 5-phosphate; Ribose 5-phosphate,blue
C18059,"CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol",blue
C11481,HSO3-; Hydrogen sulfite; Bisulfite,blue
C01151,"D-Ribose 1,5-bisphosphate; Ribose 1,5-bisphosphate; alpha-D-Ribose 1,5-bisphosphate",blue
C00463,"Indole; 2,3-Benzopyrrole",blue
C11924,Perillic acid,blue
C04153,rRNA containing N2-methylguanine,blue
C00130,IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP,blue
C01268,"5-Amino-6-(5'-phosphoribosylamino)uracil; 5-Amino-6-(ribosylamino)-2,4-(1H,3H)-pyrimidinedione 5'-phosphate; 5-Amino-6-(5-phosphoribosylamino)uracil",blue
C06615,cis-3-Chloroacrylic acid,blue
C00133,D-Alanine; D-2-Aminopropionic acid; D-Ala,blue
C00818,D-Glucarate; D-Glucaric acid; L-Gularic acid; D-Saccharic acid; D-Glucosaccharic acid; Glucaric acid; Glucarate,blue
C04255,N-Acetyl-D-galactosamine 6-sulfate,blue
C16330,3-Oxo-OPC8-CoA,blue
C01499,Geranial; trans-Citral,green
C06157,[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine; S-Glutaryldihydrolipoamide-E,blue
C03082,4-Phospho-L-aspartate; L-4-Aspartyl phosphate,blue
C00186,(S)-Lactate; L-Lactate; L-Lactic acid,blue
C02282,Glutaminyl-tRNA; L-Glutaminyl-tRNA(Gln); Glutaminyl-tRNA(Gln); Gln-tRNA(Gln),blue
C00184,"Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one",green
C22159,[Glycine cleavage system H]-N6-octanoyl-L-lysine; [GcvH]-N6-octanoyl-L-lysine; [GCSH]-N6-octanoyl-L-lysine,blue
C00441,L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde,blue
C00101,"Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-THFA",blue
C02051,Lipoylprotein; [H-protein]-lipoyllysine; [GCSH]-N6-lipoyl-L-lysine; [GcvH]-N6-lipoyl-L-lysine; [Glycine cleavage system H]-N6-lipoyl-L-lysine; [Glycine-cleavage complex H protein]-N6-lipoyl-L-lysine,blue
C00311,"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid",blue
C06547,Ethylene; Ethene,blue
C16551,Alcophosphamide,blue
C04043,"3,4-Dihydroxyphenylacetaldehyde; DOPAL; Protocatechuatealdehyde",blue
C00234,10-Formyltetrahydrofolate; 10-Formyl-THF,blue
C01645,tRNA(Leu),blue
C05810,2-Octaprenylphenol,blue
C03722,"Quinolinate; Pyridine-2,3-dicarboxylate; Quinolinic acid; 2,3-Pyridinedicarboxylic acid",blue
C00009,Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid,blue
C19723,[tRNA(Ile2)]-lysidine34,blue
C21983,Deacyl-lipid IVB; Deacyl-IVB,blue
C00655,Xanthosine 5'-phosphate; Xanthylic acid; XMP; (9-D-Ribosylxanthine)-5'-phosphate,green
