	0
K01141	blue
K07456	blue
C02170	blue
K03387	blue
K02122	blue
K01488	blue
C22453	blue
C06755	blue
K07496	blue
C02939	blue
K05346	blue
K03496	blue
K19310	blue
K00957	blue
K09921	blue
K11920	blue
C00117	blue
K15865	blue
K12529	blue
K01560	blue
K11358	blue
C18059	blue
C11481	blue
C01151	blue
C00463	blue
C11924	blue
K02569	blue
C04153	blue
C00130	blue
C01557	yellow
K00108	blue
K19234	blue
K00150	blue
K03148	blue
K11085	blue
K07407	blue
C00852	yellow
C01268	blue
K04079	blue
C06615	blue
K07349	blue
K20074	blue
K16317	blue
K06209	blue
C00133	blue
K07700	blue
K01478	blue
K06023	blue
K19225	blue
K12262	blue
K01000	blue
C00818	blue
C15783	yellow
K09459	blue
K01104	blue
K01066	blue
K02484	blue
K11392	blue
C04255	blue
K01838	blue
C16330	blue
K03762	blue
C01499	green
K05851	blue
C06157	blue
K01567	blue
K09793	blue
K03767	blue
K18697	blue
K12149	blue
C03082	blue
G13061	blue
K12145	blue
C00186	blue
K02784	blue
C02282	blue
K07172	blue
K02341	blue
K00982	blue
K02052	blue
K14287	blue
K01874	blue
K06182	blue
C00184	green
C22159	blue
C00441	blue
K02337	blue
K02107	blue
K01739	blue
K01661	blue
C00101	blue
K03407	blue
K04488	blue
K03051	blue
K09862	blue
K03664	blue
C02051	blue
K02050	blue
K11780	blue
K00868	blue
K01759	blue
C00311	blue
K09002	blue
K07269	blue
K03580	blue
K03699	blue
C06547	blue
K02563	blue
K14170	blue
K05811	blue
K00684	blue
C16551	blue
K18345	blue
K06281	blue
K05942	blue
K03088	blue
K01246	blue
K00797	blue
K09765	blue
K10857	blue
C04043	blue
K03698	blue
K10711	blue
K06442	blue
C03582	yellow
K13655	blue
K21567	blue
K02852	blue
K11529	blue
K03294	blue
K01547	blue
K00137	blue
K03805	blue
K19068	blue
C00234	blue
K08191	blue
K05778	blue
K22927	blue
K03218	blue
C01645	blue
K01839	blue
K11105	blue
C05810	blue
K03643	blue
C03722	blue
K01034	blue
K03745	blue
C00009	blue
K01810	blue
K02055	blue
K02521	blue
K12288	blue
K21012	blue
K00931	blue
K06079	blue
K07391	blue
K08264	blue
K16787	blue
K19000	blue
K02419	blue
K03812	blue
K02246	blue
K15835	blue
K08224	blue
K13052	blue
C19723	blue
C21983	blue
C00655	green
K04336	blue
K00041	blue
K02886	blue
K02686	blue
K03498	blue
K13891	blue
K01077	blue
C05290	yellow
C21173	blue
C02163	blue
K03743	blue
K02909	blue
C02429	blue
K07122	blue
K04799	blue
C06509	blue
C01031	blue
K02116	blue
K01887	blue
K09251	blue
C05379	blue
K02869	blue
K02404	blue
C05336	blue
K00371	blue
K14656	blue
K04773	blue
K15856	blue
K00117	blue
C04171	blue
K12510	blue
C16618	blue
K06393	blue
K03490	blue
K07301	blue
K02878	blue
K04518	blue
C01801	blue
C02995	blue
K00703	blue
C00239	yellow
K13301	blue
K09148	blue
K02687	blue
K03231	blue
C00309	blue
K02394	blue
K19167	blue
C04707	blue
K07091	blue
K07030	blue
C14803	blue
K02420	blue
K03321	blue
K03207	blue
K01599	blue
K09970	blue
K03856	blue
K18920	blue
K19778	blue
C00559	blue
K00674	blue
K03389	blue
C20236	blue
K05875	blue
K01262	blue
K09794	blue
K04074	blue
K06889	blue
K10906	blue
K06953	blue
K00790	blue
K01897	blue
K02984	blue
C00197	blue
C20345	blue
K07724	blue
K09910	blue
K01662	blue
C05697	blue
K17234	blue
K02977	blue
K01442	blue
K17236	blue
K10763	blue
K01170	blue
K10536	blue
K10709	blue
C00439	blue
C16720	blue
C01279	blue
K03591	blue
C02495	yellow
K15545	blue
K00974	blue
C02686	blue
C05759	blue
K19689	blue
C05974	blue
C01561	yellow
K09903	blue
C00095	blue
K02853	blue
K03078	blue
C11478	blue
K00645	blue
C02988	blue
K00020	blue
K00950	blue
K05364	blue
C17322	blue
K09725	blue
K19139	blue
C05819	blue
C00077	blue
C00266	blue
K07154	blue
K03771	blue
K04020	blue
K22900	blue
K07703	blue
K02952	blue
C00051	green
K00962	blue
K04653	blue
K03833	blue
C00109	green
K02573	blue
K01766	blue
C00127	blue
K07123	blue
K07075	blue
K00324	blue
K14731	blue
C00083	blue
C03402	blue
K08680	blue
K03547	blue
K02128	blue
K16137	blue
K03750	blue
K03555	blue
K01179	blue
K01507	blue
K00876	blue
K07120	blue
K04031	blue
K06148	blue
C05686	blue
K00088	blue
C00126	blue
K08384	blue
K00384	blue
K19611	blue
C00231	blue
K15827	blue
K21028	blue
K02474	blue
C21015	blue
K15831	blue
K02008	blue
C11062	blue
K03688	blue
K04061	blue
K01118	blue
K03237	blue
K02890	blue
K19155	blue
K07090	blue
C01179	blue
C02336	blue
K06969	blue
K01933	blue
K03438	blue
K02110	blue
K10192	blue
K00610	blue
C06481	blue
K02340	blue
C01131	blue
C02291	blue
K01485	blue
K03402	blue
K05716	blue
C16470	blue
C16237	blue
K00782	blue
K13637	blue
K05989	blue
K03079	blue
K02456	blue
K07038	blue
K01996	blue
K06177	blue
K03785	blue
K19165	blue
K02557	blue
K03597	blue
K01638	blue
K14654	blue
K14060	blue
K03752	blue
K15738	blue
K03931	blue
K00848	blue
K08311	blue
K02439	blue
K02994	blue
K00339	blue
K00362	blue
K07184	blue
C00047	green
K02398	blue
K03640	blue
C00254	blue
K06412	blue
K03603	blue
K06403	blue
C00705	green
K06016	blue
C00468	yellow
K03926	blue
K07480	blue
C02097	blue
K19235	blue
K20627	blue
K22051	blue
K06880	blue
K17488	blue
K00851	blue
K01950	blue
K11535	blue
K03300	blue
K04564	blue
K20487	blue
C03459	blue
K11131	blue
C00944	blue
K02038	blue
C19848	blue
C03838	blue
K14441	blue
K01782	blue
K06175	blue
K11530	blue
K05837	blue
K02587	blue
K00651	blue
C12455	blue
K08300	blue
K18478	blue
K06387	blue
K01278	blue
C05539	blue
K00831	blue
K19230	blue
C02702	blue
K15634	blue
K09972	blue
K03606	blue
K00259	blue
C05312	blue
K12218	blue
K03581	blue
K00338	blue
K07136	blue
K01525	blue
K22187	blue
C00103	blue
K03835	blue
K07484	blue
K22132	blue
C00151	blue
C21461	blue
K04759	blue
K02666	blue
C03069	blue
K19286	blue
K03291	blue
K06398	blue
K21972	blue
C08316	yellow
K01924	blue
K01657	blue
K05808	blue
K03612	blue
K01577	blue
K02887	blue
C00039	blue
K01792	blue
K04093	blue
K09893	blue
K03657	blue
C04652	blue
K02344	blue
C16392	blue
K13038	blue
C15804	blue
K02298	blue
C12248	blue
C00631	blue
C00842	blue
G00093	blue
C00067	blue
K06957	blue
K07404	blue
C16273	blue
C02565	blue
K02100	blue
K01259	blue
K14446	blue
C05276	blue
K18475	blue
K01480	blue
K01489	blue
K01714	blue
K01905	blue
K03574	blue
K05846	blue
K13483	blue
K02017	blue
C13861	yellow
K01215	blue
K02364	blue
K16182	blue
K09967	blue
C04638	blue
K03583	blue
K00275	blue
C05791	blue
C09833	yellow
K07286	blue
K08306	blue
K02334	blue
K08307	blue
K00946	blue
K05995	blue
K15921	blue
K02619	blue
K18325	blue
K07640	blue
K18324	blue
K07334	blue
K04024	blue
K06407	blue
C20683	blue
C06311	blue
K02045	blue
K03651	blue
K00285	blue
K05803	blue
K21977	blue
K15635	blue
K03390	blue
C01468	blue
C11638	blue
K03764	blue
C00112	green
K05777	blue
C20567	blue
K18532	blue
C12835	blue
K05796	blue
K01784	blue
K01647	blue
K02066	blue
K04072	blue
G00108	blue
K00840	blue
K20904	blue
K02173	blue
K11924	blue
K06024	blue
K09001	blue
K02929	blue
K03808	blue
K19354	blue
K09774	blue
K07474	blue
K07792	blue
C06428	yellow
C00282	blue
K06074	blue
K00557	blue
K13798	blue
K15527	blue
C05824	blue
C15587	blue
C06022	blue
K05787	blue
K00764	blue
C00092	blue
K07306	blue
C00212	green
K00425	blue
K02956	blue
C00055	blue
K02671	blue
K03763	blue
K07751	blue
K18234	blue
K04080	blue
K06195	blue
C01118	blue
K06213	blue
C01514	yellow
K07177	blue
K01960	blue
C20768	blue
K03892	blue
C19883	blue
K03601	blue
K02589	blue
K09759	blue
K15586	blue
C01146	blue
K18530	blue
K02319	blue
K03855	blue
K12685	blue
K02913	blue
K04027	blue
K20344	blue
C01004	yellow
K03656	blue
G10481	blue
K08961	blue
K11130	blue
K10974	blue
C02323	blue
C00923	blue
K15531	blue
C05394	blue
K03071	blue
K09159	blue
K02988	blue
K00681	blue
K01993	blue
K00826	blue
C21982	blue
K11732	blue
K03790	blue
K01915	blue
K05593	blue
K06173	blue
K07173	blue
K07096	blue
K05708	blue
K01493	blue
K08984	blue
K03773	blue
K00885	blue
K02505	blue
K12960	blue
K18205	blue
C01077	blue
K01958	blue
K02860	blue
K18785	blue
C14864	blue
K09812	blue
K13993	blue
K09904	blue
K17686	blue
C01802	yellow
C09315	yellow
K01770	blue
K07052	blue
C21029	blue
K06967	blue
G13182	blue
K12500	blue
C00644	blue
K15583	blue
K08723	blue
K15396	blue
C03692	blue
C03064	blue
K00867	blue
C00448	green
K11755	blue
C20446	blue
C00315	blue
K18843	blue
C05973	blue
K01895	blue
C00584	yellow
K22010	blue
K03047	blue
K07739	blue
K07356	blue
K04568	blue
K04487	blue
K19804	blue
K18640	blue
K03495	blue
K00761	blue
K01192	blue
K03632	blue
K02200	blue
K07506	blue
K12204	blue
C01137	blue
K11191	blue
C03313	blue
C04281	blue
K02013	blue
K02885	blue
K05566	blue
K02035	blue
K07666	blue
K03565	blue
C00984	blue
K06959	blue
C04438	blue
K00789	blue
C00504	blue
K10537	blue
C00435	blue
K10124	blue
K11527	blue
K16012	blue
K03500	blue
C00363	green
C04556	blue
K02911	blue
K01637	blue
K01414	blue
K03074	blue
C02415	blue
C20959	blue
K02053	blue
K01752	blue
C21018	blue
C02714	blue
C06025	blue
K00281	blue
K08227	blue
K10026	blue
C04246	blue
K04764	blue
K05802	blue
K00558	blue
K01129	blue
K14742	blue
K07678	blue
K02926	blue
C03657	blue
C00207	blue
K19338	blue
C00166	blue
K02081	blue
K00878	blue
K11922	blue
K02800	blue
C02412	blue
K18765	blue
C05980	blue
K02196	blue
C16633	blue
K04651	blue
K09712	blue
K18988	blue
C00993	blue
C21463	blue
C21438	blue
K07040	blue
K06871	blue
K09740	blue
C04114	blue
C20751	blue
K02427	blue
K02654	blue
K00325	blue
K19577	blue
K16178	blue
K12940	blue
K00065	blue
K03724	blue
K02990	blue
K02970	blue
C02953	blue
K07138	blue
C05796	blue
K01873	blue
K02822	blue
K13479	blue
C19085	blue
C00086	blue
K01736	blue
K00615	blue
K00564	blue
K08997	blue
K00215	blue
C01236	blue
K06076	blue
C21993	blue
C00455	blue
K17722	blue
C00013	blue
C00954	green
K07402	blue
C00179	green
C00165	blue
K09767	blue
K04047	blue
C00143	blue
C02593	yellow
K09955	blue
K14977	blue
K06881	blue
K08324	blue
C05396	blue
K01815	blue
C05893	blue
K00046	blue
C04006	blue
K06188	blue
K07400	blue
K08659	blue
K02550	blue
C05983	blue
K02118	blue
K04062	blue
K08312	blue
C15972	blue
K06330	blue
C10208	green
