	0
K01246	blue
C03272	green
G10598	yellow
C00818	green
C16332	yellow
C20751	green
K09939	blue
G13025	yellow
K01265	blue
K00688	blue
K02825	blue
K09698	blue
C20681	yellow
C02843	green
C00546	green
K00015	blue
C12144	yellow
C19591	yellow
K03394	blue
K01745	blue
G02515	yellow
C05956	yellow
C15979	green
K00339	blue
K07175	blue
C15486	yellow
K01470	blue
C08628	yellow
C00300	green
K22044	blue
C17219	green
K14260	blue
G00392	yellow
C00940	yellow
C22136	yellow
K00003	blue
K06133	blue
C09306	blue
C12137	yellow
K22116	blue
K16950	blue
C05360	yellow
C00025	green
C21881	blue
G00370	yellow
G00076	yellow
K19052	blue
K06148	blue
K00820	blue
C00267	green
C10208	green
K04070	blue
K00850	blue
G00140	yellow
K00765	blue
K12524	blue
K01487	blue
G00066	yellow
K00013	blue
K07816	blue
K14591	blue
C06118	green
K06950	blue
K06975	blue
K06921	blue
K18139	blue
K17686	blue
C00028	green
C03838	green
C05212	yellow
C05974	green
C03845	yellow
K02111	blue
K02190	blue
K03550	blue
C21485	blue
K15770	blue
C16217	yellow
K04343	blue
K21814	blue
K07099	blue
G13152	yellow
C05831	yellow
C04063	yellow
K04516	blue
C15814	green
C16739	yellow
K02798	blue
C02183	blue
C00576	green
K00995	blue
K09764	blue
K07056	blue
C00859	yellow
C01920	yellow
C21072	yellow
C15858	yellow
C06037	yellow
G00145	yellow
C11830	yellow
K00912	blue
C21459	yellow
C00536	green
C05479	yellow
C02094	yellow
C06006	green
K02160	blue
K03769	blue
K06879	blue
C06510	blue
K00131	blue
K00674	blue
K03147	blue
C04702	blue
C21880	blue
C14775	yellow
K00854	blue
K06416	blue
C00227	blue
K11070	blue
K03040	blue
K07114	blue
K00196	blue
K18330	blue
C20378	green
C04646	green
C04751	blue
C19624	yellow
K01486	blue
C06114	green
C00148	green
G00047	yellow
C07836	blue
C03912	green
C06614	green
K07574	blue
C00410	green
K07783	blue
K04047	blue
C03824	yellow
K17733	blue
C13550	yellow
K10009	blue
C15780	yellow
K03760	blue
K02036	blue
K03750	blue
K03517	blue
K08369	blue
K03756	blue
K07484	blue
C19812	yellow
K00849	blue
K14540	blue
K06385	blue
K05601	blue
K06897	blue
K03778	blue
K07405	blue
K08987	blue
C00251	green
C00988	yellow
K03075	blue
C18237	green
K02227	blue
K03744	blue
K21471	blue
K07726	blue
K04026	blue
C02582	yellow
K22927	blue
C21999	blue
K03327	blue
C20908	yellow
K00571	blue
C01161	yellow
K19118	blue
K21602	blue
C14827	yellow
C15672	yellow
C01268	green
K03150	blue
C02463	green
C00957	green
K03169	blue
K08289	blue
K06989	blue
C14863	yellow
K06911	blue
C01081	green
K01951	blue
C20658	green
K03651	blue
C00328	yellow
C00005	green
C05504	yellow
K01546	blue
G00011	yellow
C21926	yellow
K00833	blue
K01878	blue
K14086	blue
C05512	green
G00014	yellow
C17743	yellow
K16299	blue
C01747	yellow
K02666	blue
C07490	green
C04039	green
C04295	yellow
C01079	yellow
K14274	blue
K00957	blue
K01854	blue
K09940	blue
C00944	green
C00226	yellow
G13093	yellow
C11874	yellow
K02019	blue
K16924	blue
K00971	blue
K02647	blue
K16087	blue
C22501	green
C20722	yellow
K17318	blue
C20390	blue
G00084	yellow
C16832	green
K17723	blue
K20461	blue
K13280	blue
K09749	blue
K07109	blue
C08584	yellow
K06023	blue
C00361	green
C05276	yellow
K21947	blue
K10206	blue
C00044	green
K16692	blue
C01205	green
K04761	blue
C16360	yellow
K03820	blue
K03656	blue
K07457	blue
K01627	blue
K22736	blue
K00865	blue
K00598	blue
K13927	blue
K01639	blue
C00040	green
K11754	blue
C19771	blue
K00928	blue
G00040	yellow
C15883	yellow
K02839	blue
K01737	blue
K07089	blue
K16509	blue
C05852	yellow
C05822	blue
K01478	blue
C02198	yellow
K03313	blue
K09952	blue
C15501	yellow
C15781	yellow
C11406	blue
C15793	yellow
C16634	green
K02808	blue
K08282	blue
K04078	blue
K01308	blue
K02439	blue
C20458	yellow
C05922	green
K07238	blue
C22852	yellow
K03630	blue
K01547	blue
K07718	blue
K01926	blue
K07451	blue
K06330	blue
K02471	blue
K04028	blue
K07351	blue
K02760	blue
C01533	yellow
C18310	yellow
C01289	blue
G00146	yellow
C16164	yellow
C20676	green
K09797	blue
K03386	blue
C00861	blue
K07148	blue
C16186	blue
K11041	blue
K12942	blue
C17570	yellow
C15794	yellow
K06223	blue
K07444	blue
K22230	blue
C02962	blue
K11069	blue
C01753	yellow
K00009	blue
K03885	blue
C05993	green
K01843	blue
C04006	green
G00005	yellow
K06960	blue
C04938	yellow
C01190	green
C06025	green
K05592	blue
K00600	blue
K01095	blue
G12396	yellow
K00783	blue
K01681	blue
K03614	blue
C02642	green
C06377	blue
K02778	blue
K06320	blue
K09974	blue
C17337	yellow
K06147	blue
K00348	blue
K07243	blue
K00813	blue
K02945	blue
C04712	yellow
C00088	green
K01715	blue
C08614	yellow
K02110	blue
K03803	blue
K03303	blue
K09910	blue
C03722	green
G00097	yellow
C04157	green
C05294	yellow
K07122	blue
G00125	yellow
C00069	green
K01940	blue
K03743	blue
C14899	blue
C04501	green
C00325	yellow
K00185	blue
K04772	blue
C11526	yellow
K02472	blue
C20238	green
K09899	blue
C06113	green
K01241	blue
C11545	blue
K00124	blue
G13179	blue
G13167	blue
C00624	green
C05643	yellow
C00692	blue
K03706	blue
C00114	green
K09999	blue
K15598	blue
C05692	yellow
C08580	yellow
G00156	yellow
C00141	green
C22123	yellow
K11051	blue
G10794	yellow
C00242	green
C01222	green
K16235	blue
C14813	yellow
K03742	blue
C05810	blue
K01770	blue
C21939	yellow
K16066	blue
C00852	yellow
K05807	blue
K02655	blue
C05588	yellow
K07219	blue
C04350	yellow
K15586	blue
K02025	blue
K00965	blue
K05810	blue
K01848	blue
C17148	yellow
K01596	blue
K10118	blue
C04573	blue
K19355	blue
C00473	green
K09791	blue
K00656	blue
C21750	yellow
K05351	blue
K18682	blue
K02843	blue
C11136	yellow
K00655	blue
C01571	green
K07112	blue
K00610	blue
C02888	blue
K00797	blue
K01895	blue
C01286	blue
C00264	yellow
K06384	blue
K07407	blue
G13038	yellow
C01419	green
G00209	yellow
K17195	blue
K03558	blue
C00794	green
C17343	yellow
C00349	yellow
C02687	yellow
C20723	yellow
C03506	green
K07091	blue
C05130	yellow
K01494	blue
K21672	blue
K03484	blue
K00703	blue
K08296	blue
C11876	yellow
K01807	blue
C15522	yellow
C16374	yellow
K00343	blue
K03501	blue
G00088	yellow
G00015	yellow
K02992	blue
C05502	yellow
C03579	yellow
K02518	blue
K11175	blue
C05341	yellow
G13180	blue
K06902	blue
K07719	blue
C05413	yellow
C09762	yellow
C21751	green
K07031	blue
K07462	blue
K03388	blue
K01644	blue
K02888	blue
K01520	blue
K05787	blue
K02525	blue
K08224	blue
C00239	yellow
K07080	blue
C19880	blue
C01744	blue
G00089	yellow
C11827	blue
C18045	yellow
K10563	blue
C19723	blue
C01284	yellow
C00517	yellow
C02220	yellow
C02282	green
C05379	green
C00899	yellow
K03698	blue
K01448	blue
C06094	yellow
C00645	green
K02884	blue
K01996	blue
K06889	blue
K06180	blue
C05467	yellow
C05460	yellow
C01094	green
C08604	yellow
K00557	blue
G00734	yellow
K01695	blue
K16511	blue
C01227	yellow
K02990	blue
C11902	yellow
K00997	blue
K07452	blue
K01560	blue
C01228	green
C06250	green
K00884	blue
C05778	yellow
K04072	blue
K18011	blue
C00132	green
C00523	yellow
K00681	blue
K17073	blue
