	0
K05248	yellow
K12893	yellow
K14833	yellow
K06582	yellow
K03100	green
K05217	yellow
K02910	yellow
K24433	yellow
K18953	yellow
K16281	yellow
K11428	yellow
K02678	yellow
C04930	yellow
C14775	yellow
K19939	yellow
K05306	blue
K12308	blue
K21066	yellow
K15412	yellow
K24047	yellow
K16531	yellow
K23226	yellow
K00702	blue
C06056	green
K10415	yellow
C00700	yellow
G13061	green
K27605	yellow
K13962	yellow
K01591	blue
K24627	yellow
K17716	blue
K12304	yellow
K13958	yellow
K25424	yellow
K20124	yellow
K16503	yellow
K05400	yellow
K04955	yellow
K23095	yellow
K24512	yellow
K22989	yellow
K02208	yellow
K24635	yellow
C05951	green
K16977	yellow
K15116	yellow
K07905	yellow
K02988	green
K03772	blue
K01818	blue
C11251	,orange
K06147	blue
K05148	yellow
K12882	yellow
K09341	yellow
K16739	yellow
K03668	blue
K27154	yellow
C02612	blue
C03287	green
K10317	yellow
K06378	blue
K06736	yellow
K13759	yellow
C00882	green
C02061	yellow
K20822	yellow
K00695	yellow
K07423	yellow
K12010	yellow
K04246	yellow
K03583	blue
K22137	yellow
K23125	yellow
K06612	yellow
K14765	yellow
K17600	yellow
K14435	yellow
K11457	yellow
C03431	blue
K08200	yellow
K16509	blue
K05653	yellow
K00166	yellow
K24377	yellow
K11548	yellow
K25635	yellow
C14463	green
C08285	yellow,orange
K18668	yellow
K01681	green
C18239	green
K12347	yellow
K10278	yellow
K06099	yellow
K15605	yellow
K19689	blue
K16622	yellow
K02909	green
K09099	yellow
K18272	yellow
K08451	yellow
K04575	yellow
K17618	yellow
K13152	yellow
K04687	yellow
K11460	yellow
K17599	yellow
K12307	yellow
K00728	yellow
K09640	yellow
K07868	yellow
K13650	blue
K26247	yellow
C04442	blue
K06532	yellow
K04482	yellow
K14820	yellow
K01610	green
K12816	yellow
K11816	yellow
K06823	yellow
K10224	yellow
K07109	blue
K06711	yellow
K10338	yellow
C00751	yellow
K05758	yellow
K26224	yellow
K02757	blue
K24331	yellow
K03353	yellow
K06625	yellow
K04718	yellow
C22122	yellow
K04427	yellow
K02332	yellow
K17723	blue
K03504	yellow
K11867	yellow
K05111	yellow
K24876	yellow
K05221	yellow
K00565	yellow
K00962	green
K00077	blue
C03221	yellow
K12849	yellow
K10485	yellow
K24318	yellow
K14650	yellow
C01747	yellow
K13496	yellow
K09508	yellow
C11061	yellow
K22755	yellow
K24807	yellow
K07583	yellow
K15985	yellow
C16075	yellow
K10839	yellow
K16053	blue
K02605	yellow
K07435	yellow
K01057	green
K14168	yellow
K17804	yellow
K02824	blue
K06391	blue
C00671	green
K00891	green
K11406	yellow
K11855	yellow
K07368	yellow
K05022	yellow
K17294	yellow
K11500	yellow
G00037	yellow
K06102	yellow
K07760	yellow
K23609	yellow
K15044	yellow
K20365	yellow
K14927	yellow
K05305	green
K25557	yellow
C05454	yellow
K02053	blue
K09499	yellow
K19484	yellow
C16168	yellow
K10542	blue
K09001	blue
K08825	yellow
C00159	green,orange
K06256	yellow
K06088	yellow
K20345	blue
C16254	green
K17079	yellow
K08989	blue
K01626	green
K11086	yellow
K20562	yellow
K06626	yellow
K09283	yellow
K16745	yellow
K26549	yellow
K17912	yellow
K17633	yellow
K24455	yellow
K27893	yellow
K12419	yellow
K01640	green
K08248	yellow
C03453	blue
C05545	yellow
K11452	yellow
K17591	yellow
K14206	yellow
C19624	yellow
K26317	yellow
K04289	yellow
K09839	yellow
K14167	yellow
K03369	yellow
K19196	yellow
C04840	yellow
K02886	green
C21797	yellow
K12302	yellow
K22235	yellow
K17253	yellow
K11173	yellow
C20378	green
C02591	yellow
K16994	yellow
K03571	blue
C18055	blue
K08516	yellow
K05430	yellow
K22376	yellow
K24156	yellow
K04818	yellow
K05770	green
K21956	yellow
C19714	yellow
K08560	yellow
K20891	yellow
K05606	green
K00710	yellow
K10397	yellow
K05832	blue
K08717	blue
K00855	yellow
K02699	yellow
K22949	yellow
K20623	yellow
K16627	yellow
K15156	yellow
K09543	yellow
K13137	yellow
K02523	blue
K15501	yellow
K11358	blue
K05211	yellow
K12322	yellow
K17698	yellow
K00102	yellow
K10635	yellow
K18447	yellow
K04911	yellow
K00550	yellow
K00561	blue
K08742	yellow
K03258	yellow
K23912	yellow
K06081	yellow
K23168	yellow
C00780	yellow,orange
K04948	yellow
K09323	yellow
K20342	blue
K24976	yellow
K21866	yellow
K16740	yellow
C21381	yellow
K01099	yellow
K14961	yellow
K04203	yellow
K17412	yellow
K12316	yellow
K21424	yellow
K08592	yellow
K00255	yellow
K05078	yellow
K14971	yellow
K00130	yellow
K14832	yellow
K09535	yellow
C02530	yellow
K01991	blue
K15397	yellow
K27104	yellow
K08731	yellow
K04536	yellow
K26559	yellow
K01113	yellow
K24267	yellow
K02563	green
K10377	yellow
K08915	yellow
K03875	yellow
K23507	yellow
K13224	yellow
K03587	blue
K08169	blue
K26562	yellow
K06576	yellow
K11504	yellow
K19942	yellow
K26160	yellow
K19400	yellow
K18194	yellow
K13448	yellow
K08796	yellow
K02566	blue
K13356	yellow
K08881	yellow
K03469	green
C15978	green
K02978	yellow
K11515	yellow
K19054	yellow
K13102	yellow
K26809	yellow
K18764	yellow
K03998	yellow
K26186	yellow
C00644	blue
K11658	yellow
K19527	yellow
C21861	green
K13950	yellow
K07921	yellow
K26542	yellow
K26561	yellow
K01783	green
K06828	yellow
K25041	yellow
K09382	yellow
K06766	yellow
C08830	yellow
K04423	yellow
K00869	green
C16541	yellow
K25837	yellow
K18208	yellow
K00045	blue
K11130	yellow
K17145	yellow
C02960	yellow
K17397	yellow
K01779	blue
K04977	yellow
K05734	yellow
K01633	green
G00162	yellow
K06970	blue
K08749	yellow
C05850	green
G13080	yellow
K24931	yellow
C09312	,orange
K00773	blue
K02589	blue
K25039	yellow
C00041	green,orange
C01220	yellow
C05466	yellow
K05081	yellow
K10090	yellow
K22920	yellow
K03932	blue
K04232	yellow
C03428	yellow
K14890	yellow
C22831	yellow
K07456	green
K05857	yellow
K26474	yellow
K17616	yellow
C01752	,orange
K15161	yellow
K22441	blue
K01372	green
K14882	yellow
K00965	green
K14693	yellow
K03176	yellow
K09810	blue
K15583	blue
K05277	yellow
