	0
K03100	blue
C04930	yellow
C14775	yellow
K05306	blue
K12308	blue
K00702	blue
C06056	green
C00700	yellow
G13061	green
K01591	blue
K17716	blue
C05951	green
K02988	blue
K03772	blue
K01818	blue
C11251	yellow
K06147	blue
K03668	blue
C02612	blue
C03287	green
K06378	blue
C00882	green
C02061	yellow
K03583	blue
C03431	blue
K16509	blue
C14463	green
C08285	yellow
K01681	blue
C18239	green
K19689	blue
K02909	blue
K13650	blue
C04442	blue
K01610	blue
K07109	blue
C00751	yellow
K02757	blue
C22122	yellow
K17723	blue
K00962	blue
K00077	blue
C03221	yellow
C01747	yellow
C11061	yellow
C16075	yellow
K16053	blue
K01057	blue
K02824	blue
K06391	blue
C00671	green
K00891	blue
G00037	yellow
K05305	blue
C05454	yellow
K02053	blue
C16168	yellow
K10542	blue
K09001	blue
C00159	green
K20345	blue
C16254	green
K08989	blue
K01626	blue
K01640	blue
C03453	blue
C05545	yellow
C19624	yellow
C04840	yellow
K02886	blue
C21797	yellow
C20378	green
C02591	yellow
K03571	blue
C18055	blue
K05770	blue
C19714	yellow
K05606	blue
K05832	blue
K08717	blue
K02523	blue
K11358	blue
K00561	blue
C00780	yellow
K20342	blue
C21381	yellow
C02530	yellow
K01991	blue
K02563	blue
K03587	blue
K08169	blue
K02566	blue
K03469	blue
C15978	green
C00644	blue
C21861	green
K01783	blue
C08830	yellow
K00869	blue
C16541	yellow
K00045	blue
C02960	yellow
K01779	blue
K01633	blue
G00162	yellow
K06970	blue
C05850	green
G13080	yellow
C09312	yellow
K00773	blue
K02589	blue
C00041	green
C01220	yellow
C05466	yellow
K03932	blue
C03428	yellow
C22831	yellow
K07456	blue
C01752	yellow
K22441	blue
K01372	blue
K00965	blue
K09810	blue
K15583	blue
C05796	green
K00997	blue
C14810	yellow
K03612	blue
C07479	blue
C16545	yellow
K03797	blue
K21575	blue
K07462	blue
K15599	blue
K01858	blue
K00169	blue
C00074	green
C02843	green
K03768	blue
C00410	green
C06188	blue
K14445	blue
C11133	yellow
K01881	blue
K04023	blue
C01035	yellow
K02817	blue
C04919	green
K05343	blue
K01776	blue
K00880	blue
K08276	blue
K03723	blue
G00317	green
C14851	yellow
K02279	blue
K00009	blue
C01211	yellow
C00166	green
C05202	yellow
K02413	blue
C04732	green
K20627	blue
C01697	yellow
K02315	blue
C00232	yellow
C05109	yellow
C01092	green
K01695	blue
C20159	yellow
K09861	blue
K02221	blue
C00493	yellow
C01678	yellow
K01119	blue
K00533	blue
C00860	green
K03272	blue
G00098	yellow
C08821	yellow
K12213	blue
K16881	blue
C15500	yellow
C00555	green
K01092	blue
K01567	blue
C00218	yellow
C22966	yellow
K07078	blue
C20121	yellow
K02457	blue
C12634	yellow
K01715	blue
K02190	blue
C05446	yellow
K07646	blue
K05570	blue
C11556	yellow
C05441	yellow
K18929	blue
K01619	blue
K00954	blue
K01000	blue
C11827	blue
C14749	yellow
K09384	blue
K02429	blue
C05744	green
K06866	blue
K09808	blue
C21189	yellow
K02071	blue
C01213	yellow
K11072	blue
K00336	blue
K02118	blue
C00533	yellow
C03272	green
K03214	blue
K07406	blue
C00072	yellow
K00760	blue
C15520	yellow
C05442	yellow
K07146	blue
C11143	blue
K12137	blue
C20454	yellow
C07446	yellow
K03615	blue
K06183	blue
K16153	blue
C21879	blue
C15802	yellow
C06213	yellow
K02007	blue
C17518	yellow
G13093	yellow
K15724	blue
K03303	blue
K03784	blue
C08614	yellow
C05825	blue
K20118	blue
K01661	blue
K02124	blue
C17622	yellow
C15806	yellow
K02666	blue
C01645	blue
C02985	green
K10778	blue
C03405	green
K11050	blue
C20742	yellow
C06376	blue
C21015	green
K03800	blue
K20257	blue
C05465	yellow
C16237	green
K01687	blue
C02162	yellow
K07652	blue
K06872	blue
C02984	green
K02982	blue
K00848	blue
C14842	yellow
K00111	blue
K06518	blue
C00741	blue
C13816	yellow
C11540	blue
K19265	blue
K19411	blue
C04713	yellow
K02335	blue
K12981	blue
C00226	yellow
C00794	green
C01367	blue
C00936	yellow
K00176	blue
C21178	blue
K10440	blue
C00584	yellow
C03691	yellow
K09693	blue
C16242	blue
K00343	blue
K00936	blue
C19880	blue
K07458	blue
K01150	blue
C16300	yellow
C00380	green
C22851	yellow
C00510	yellow
K08289	blue
G00151	yellow
C20658	green
K01595	blue
K07560	blue
C16291	yellow
C00996	yellow
C11404	blue
K08159	blue
G11121	green
C00329	yellow
C00134	green
C05125	green
K00620	blue
C05924	green
K01305	blue
K19405	blue
C10646	yellow
C19848	green
C12127	yellow
K02574	blue
C03758	yellow
K03687	blue
K08722	blue
K01874	blue
C03912	green
G00177	blue
K02477	blue
K01077	blue
K02680	blue
K02446	blue
C14536	yellow
C02538	yellow
C00355	yellow
C20861	blue
C05422	yellow
C01633	yellow
K14591	blue
G00100	yellow
K10439	blue
K06997	blue
K06405	blue
K01929	blue
C02642	green
K07507	blue
C00264	yellow
K02283	blue
C02336	green
C21029	green
K05838	blue
C17549	blue
C21878	blue
C19745	blue
C01368	blue
G02977	yellow
K13677	blue
K02119	blue
C01197	yellow
K09955	blue
C21072	yellow
K00604	blue
K01627	blue
K02863	blue
K02481	blue
C04494	green
C04409	yellow
K03621	blue
C00521	yellow
C19604	yellow
C00376	green
C22963	yellow
C00148	green
K01745	blue
G00370	yellow
G11160	green
K03775	blue
C10107	yellow
C00534	yellow
K18471	blue
C01514	yellow
C00204	blue
K01834	blue
C04154	blue
K07042	blue
C22563	yellow
K02054	blue
K00133	blue
C19490	yellow
K02614	blue
C00417	green
K03798	blue
K01625	blue
K01704	blue
G10557	blue
K01494	blue
C00905	blue
K01424	blue
K00366	blue
C22442	green
C04881	blue
C06575	yellow
C01146	yellow
C00136	green
K03785	blue
C14854	yellow
C01933	yellow
C14814	yellow
C00346	yellow
C04043	yellow
K11733	blue
C14813	yellow
K10441	blue
C03892	green
C12667	yellow
K01666	blue
C00430	yellow
C04242	green
C00535	green
K00812	blue
C17401	blue
C02702	green
C01061	yellow
C00366	green
K19955	blue
K03106	blue
C01345	green
C00439	green
C01165	green
K06131	blue
K02810	blue
C04738	green
K02822	blue
C00688	blue
K02588	blue
K15772	blue
G13028	yellow
K02371	blue
C05332	yellow
K00210	blue
K02501	blue
K17234	blue
C12206	yellow
C21215	blue
K08602	blue
C16361	yellow
K00113	blue
K07082	blue
K02108	blue
C16632	yellow
K00290	blue
C15798	yellow
K06879	blue
K16299	blue
C02305	yellow
K01118	blue
C17217	green
K01808	blue
C01346	green
C00253	green
K03634	blue
C21751	green
C00487	yellow
C15502	yellow
K02392	blue
C15883	yellow
C01304	green
C03017	yellow
C00081	green
K06180	blue
C01245	yellow
C16633	green
C21152	blue
K12209	blue
C05668	yellow
C00188	green
C01659	yellow
K01710	blue
C00459	green
C01909	green
C22119	yellow
C05546	yellow
C04677	green
C11869	yellow
C00475	green
C14748	yellow
K03073	blue
C06196	yellow
K14088	blue
K07667	blue
G00010	yellow
K03722	blue
C15800	yellow
C21881	blue
K01193	blue
C00122	green
C01042	yellow
C09898	yellow
K03816	blue
C01241	yellow
C00331	yellow
K05810	blue
C00024	green
C21101	blue
K02914	blue
C00655	green
K20534	blue
C05922	green
C03460	green
K00912	blue
C00245	green
K03473	blue
K00246	blue
K09125	blue
C01300	green
K03453	blue
K09888	blue
K00703	blue
C09263	yellow
K02529	blue
K01607	blue
C14864	yellow
C15810	green
C17639	yellow
K00547	blue
K01955	blue
K06407	blue
G00526	yellow
K04043	blue
C16186	blue
C14079	yellow
K04477	blue
K00712	blue
G00003	yellow
C00047	green
K17318	blue
K08963	blue
K05571	blue
C12124	yellow
K09769	blue
C16429	yellow
K11381	blue
K00927	blue
K11529	blue
C14808	yellow
K04066	blue
C00183	yellow
C00561	green
K03389	blue
K00337	blue
C08276	yellow
C14781	yellow
K07566	blue
K14055	blue
C06098	yellow
K09749	blue
C21106	yellow
K02770	blue
K02421	blue
C05855	yellow
K02241	blue
C15514	yellow
K04027	blue
K07091	blue
C00450	yellow
K03611	blue
C01074	yellow
K01812	blue
K05311	blue
C04722	yellow
G00428	yellow
C15968	yellow
K07286	blue
C00100	green
K01191	blue
C06135	yellow
C05639	yellow
C16355	yellow
K00013	blue
K00925	blue
K01200	blue
C15792	yellow
C06416	blue
C01929	green
C04913	yellow
K03674	blue
C04076	yellow
K00226	blue
G00156	yellow
C21453	blue
K02836	blue
K01580	blue
C04121	green
C19752	yellow
K07089	blue
K17235	blue
K19052	blue
C16489	blue
K10194	blue
C19723	blue
K03803	blue
C00082	yellow
C02988	green
C05653	yellow
C01054	yellow
K04031	blue
K13954	blue
K11144	blue
K07351	blue
K19221	blue
C21153	blue
K00339	blue
K01512	blue
C00315	green
C02659	green
K05985	blue
K03086	blue
K06937	blue
C03175	green
K00821	blue
G00158	yellow
C21935	yellow
C01978	yellow
K05523	blue
C02320	yellow
C04752	green
K01821	blue
C02504	green
C10453	yellow
K04656	blue
C05340	yellow
C00763	blue
C05844	green
K00041	blue
K00789	blue
C11049	yellow
G13163	blue
C00986	yellow
C16832	green
K03554	blue
C01595	green
K02933	blue
C00071	green
C02084	blue
K03316	blue
K06213	blue
C19646	yellow
C04623	yellow
K00995	blue
K02433	blue
C21018	green
C05427	yellow
K07483	blue
C09880	yellow
C19875	green
K21471	blue
K01251	blue
K03327	blue
G00020	yellow
K05936	blue
C15804	yellow
K12410	blue
K08974	blue
C05645	yellow
K03274	blue
K07685	blue
K04056	blue
C14819	green
K10763	blue
C05539	blue
C18170	yellow
C04441	yellow
K21557	blue
C19846	green
C02269	blue
K15722	blue
K01893	blue
K03851	blue
C05673	yellow
C04582	green
C21640	yellow
K05337	blue
C00590	yellow
C14871	yellow
K00003	blue
K02231	blue
C01115	yellow
K06934	blue
C05797	yellow
K21469	blue
C00313	yellow
C03972	green
K02074	blue
C00233	green
C14155	yellow
K03527	blue
C05949	yellow
K01465	blue
C01177	green
C05279	yellow
C05404	green
C00712	yellow
K03215	blue
K10536	blue
C02248	yellow
K00174	blue
G00113	yellow
C00301	yellow
K11041	blue
K00537	blue
K01130	blue
K17103	blue
C05903	yellow
K01507	blue
K00395	blue
C18043	yellow
C06755	green
K02445	blue
C05921	green
K03752	blue
K03855	blue
C00343	green
C01227	yellow
C00049	green
K07085	blue
C01735	yellow
K01958	blue
K02103	blue
K01489	blue
C00157	yellow
K08984	blue
K20444	blue
G10665	green
K21602	blue
C00036	green
C16265	yellow
C17223	green
K07742	blue
K07729	blue
K07862	blue
G13023	yellow
K09811	blue
K03221	blue
C03741	green
C05842	yellow
K17073	blue
K03739	blue
K00989	blue
C05385	yellow
K02931	blue
C02266	yellow
K07271	blue
K04755	blue
K06399	blue
K06410	blue
C19712	yellow
C21924	yellow
K09458	blue
K11527	blue
C02429	blue
G00088	yellow
G00155	yellow
K03789	blue
C14768	yellow
K03077	blue
K10254	blue
K06310	blue
C04281	green
K00158	blue
K01972	blue
C01131	blue
C05635	green
K00575	blue
C11136	yellow
K07043	blue
C06118	green
K07491	blue
C04487	yellow
K07025	blue
C16643	yellow
K09930	blue
K03569	blue
C15777	yellow
K06149	blue
C00735	yellow
C17212	green
C14861	yellow
K16957	blue
C15980	green
C12134	yellow
K16785	blue
K01215	blue
K00265	blue
C20723	yellow
K09816	blue
K20490	blue
C05698	green
K03642	blue
C14865	yellow
K11031	blue
K02407	blue
K07584	blue
K11070	blue
K00884	blue
C00190	green
K09976	blue
C01382	yellow
K03415	blue
G10622	yellow
K04749	blue
C17219	green
K19271	blue
K07045	blue
K02584	blue
C00685	green
C19873	yellow
G13060	green
K00346	blue
K03040	blue
K00278	blue
K07668	blue
C13455	yellow
K08303	blue
C15793	yellow
C00009	green
K01008	blue
C01327	green
K16087	blue
K02078	blue
C08813	yellow
K18330	blue
K01749	blue
C16519	green
K19092	blue
C00124	green
C05413	yellow
K00208	blue
K01478	blue
K00426	blue
K01284	blue
K04773	blue
K03586	blue
C05750	green
K01787	blue
C00139	green
K06959	blue
C19588	yellow
C00979	green
K02018	blue
C04536	yellow
C03160	green
K03154	blue
C21667	yellow
K11382	blue
K09765	blue
K06381	blue
C15519	yellow
K01870	blue
C02946	green
K07335	blue
K02622	blue
K00661	blue
K04654	blue
K03590	blue
C19623	yellow
K22477	blue
K16089	blue
C00121	green
C15857	yellow
C01181	green
K06923	blue
K04088	blue
C01613	yellow
K17195	blue
K06921	blue
K07258	blue
K03633	blue
K02029	blue
C00135	green
K02777	blue
C00438	green
C21485	blue
K07015	blue
K18474	blue
K06941	blue
K11752	blue
C00512	blue
C00540	yellow
K10716	blue
C15770	yellow
K02804	blue
C04045	yellow
K09936	blue
K21571	blue
K03307	blue
K18345	blue
G00013	yellow
C14778	yellow
K01918	blue
K18955	blue
C14773	yellow
K00096	blue
K00854	blue
C00894	green
K06148	blue
K06333	blue
C01231	yellow
K15598	blue
K15024	blue
K05592	blue
C19845	blue
C06125	yellow
K06950	blue
C20758	blue
C15645	yellow
K02013	blue
K02493	blue
K02492	blue
C00570	yellow
C04666	green
K00764	blue
G00129	yellow
C15979	green
C00195	green
C03824	yellow
C08604	yellow
K07792	blue
C14770	yellow
C04432	green
K03190	blue
K05774	blue
K00566	blue
C09751	yellow
C05960	yellow
K15876	blue
C20446	blue
K02082	blue
K02902	blue
K01190	blue
C03125	green
K01198	blue
K08986	blue
K03474	blue
C06112	green
C00877	green
C04185	yellow
K03811	blue
K00819	blue
K00761	blue
K03565	blue
C05851	yellow
K21672	blue
K03613	blue
C00272	yellow
K06928	blue
C02876	blue
C00406	yellow
C05993	green
C05584	yellow
C01170	blue
K00674	blue
C20859	yellow
C00581	yellow
C04598	yellow
C05588	yellow
C00147	green
C20120	yellow
K00762	blue
C21845	yellow
C07534	yellow
C00362	yellow
K02906	blue
K00534	blue
C12739	green
C01069	yellow
C00319	green
K06907	blue
C02686	green
C05831	yellow
C01378	yellow
K02556	blue
K08311	blue
K07447	blue
K03975	blue
K01208	blue
K04564	blue
K15633	blue
K02346	blue
C04144	green
C00186	blue
K11105	blue
C22551	yellow
C20390	blue
K01734	blue
K08364	blue
G01391	green
K01218	blue
K01515	blue
C00128	yellow
C05433	yellow
K06919	blue
K06024	blue
K01759	blue
C01935	green
C11872	yellow
K02687	blue
K19309	blue
C00063	green
K09921	blue
K07568	blue
C21999	blue
C04635	green
K13570	blue
K00244	blue
C00691	blue
K02015	blue
C01031	yellow
K03110	blue
K06901	blue
K00034	blue
C16612	yellow
C20251	blue
K15770	blue
C00349	yellow
K09710	blue
C00441	green
K08678	blue
C14863	yellow
K02904	blue
C22441	green
C14826	yellow
K01358	blue
K01752	blue
K07071	blue
K01644	blue
C00058	green
G10794	yellow
C01161	yellow
K08384	blue
K03684	blue
K09014	blue
K00571	blue
K02652	blue
C10447	blue
C14848	yellow
C05898	green
K01258	blue
K09764	blue
C16341	yellow
G00144	yellow
K01805	blue
K06898	blue
C05897	green
C16323	yellow
K01889	blue
K09894	blue
K01933	blue
K05340	blue
C01302	green
C03454	yellow
K02025	blue
K03177	blue
C00530	blue
C05579	yellow
C19812	yellow
C00163	yellow
K12511	blue
C00262	green
K18349	blue
C02463	green
G00143	yellow
C00636	green
G00140	yellow
K01581	blue
K01186	blue
K00171	blue
C00363	green
C11545	blue
K00198	blue
C00153	green
K14205	blue
K17810	blue
C20748	blue
C05973	green
K01277	blue
C05479	yellow
K07122	blue
G00019	yellow
G00077	yellow
C00105	green
G00171	yellow
G13200	blue
K02843	blue
K03530	blue
C01561	yellow
C11861	yellow
K02041	blue
C17554	yellow
K13829	blue
C22155	green
C01080	blue
C00029	green
K01613	blue
C03742	green
K03892	blue
K08961	blue
K18692	blue
C03313	green
C01262	yellow
K03702	blue
C02189	yellow
C20755	blue
G00734	yellow
K00525	blue
C02921	yellow
K08591	blue
K15533	blue
K00798	blue
C12139	yellow
C02110	yellow
C16332	yellow
C00116	green
C16551	green
K17734	blue
K01356	blue
K00558	blue
K04094	blue
C00052	green
K10192	blue
C01126	yellow
K02171	blue
K19507	blue
K00615	blue
C00300	green
K03292	blue
C06547	green
K08177	blue
K02470	blue
K03588	blue
C20238	green
C00408	yellow
C00219	green
K20491	blue
K15532	blue
C21214	green
K00348	blue
C01958	yellow
C07480	yellow
K03823	blue
C03232	green
G13039	green
C00224	green
C19606	yellow
C19559	yellow
C12633	yellow
K00179	blue
K01819	blue
C20969	green
G10481	green
C02373	yellow
C01712	yellow
C06250	green
C03692	green
C18096	blue
C06199	yellow
C14782	yellow
C10172	yellow
K05995	blue
C04851	green
K20487	blue
K09698	blue
C05848	green
C00140	green
C20375	green
