"","external_id","compound_id","annotations"
"1","C00483",433,"Biogenic amines
Tyramine derivatives
"
"2","C02495",442,"Isoflavonoids
isoflavones
"
"3","C00082",446,"Common amino acids
"
"4","C07480",455,"Purine alkaloids
"
"5","C10172",463,"Pyrrolidine alkaloids
"
"6","C00183",465,"Common amino acids
"
"7","C00047",474,"Common amino acids
"
"8","C00037",484,"Common amino acids
Amino acids
"
"9","C00263",522,"Other amino acids
"
"10","C00408",546,"Piperidine alkaloids
"
"11","C00041",556,"Common amino acids
"
"12","C02477",565,"Vitamin E
Fat-soluble vitamins
"
"13","C00355",567,"Other amino acids
Biogenic amines
"
"14","C00148",570,"Common amino acids
"
"15","C00314",574,"Water-soluble vitamins
"
"16","C05903",633,"Flavones and Flavonols
flavonols
"
"17","C00509",678,"Flavanones
"
"18","C05631",688,"Flavanones
"
"19","C14536",698,"Isoflavonoids
isoflavones
"
"20","C17715",700,"Straight chain fatty acids
"
"21","C00114",710,"Pesticides
"
"22","C00116",756,"Glycerols
"
"23","C00189",769,"Biogenic amines
"
"24","C00152",787,"Common amino acids
"
"25","C00398",917,"Indole alkaloids
"
"26","C00954",933,"Indole alkaloids
Auxins
"
"27","C05377",953,"Vitamin K
Fat-soluble vitamins
"
"28","C00829",954,"Fumigants
"
"29","C00253",1014,"Water-soluble vitamins
Pyridine alkaloids
"
"30","C09315",1094,"coumarins
"
"31","C00089",1131,"Disaccharides
"
"32","C00181",1136,"Aldoses
"
"33","C05402",1204,"Disaccharides
"
"34","C14155",1298,"Vitamin E
"
"35","C08821",1315,"Stigmasterols and C24-ethyl derivatives
stigmastane
"
"36","C00341",1463,"Acyclic monoterpenoids
Linear monoterpenes
"
"37","C09833",1472,"Flavanones
"
"38","C00134",1494,"Biogenic amines
"
"39","C00575",1497,"3',5'-Cyclic nuclcleotides
"
"40","C00051",1498,"Coenzymes
"
"41","C01762",1604,"Purine alkaloids
"
"42","C00123",1946,"Common amino acids
"
"43","C00385",1977,"Purine alkaloids
"
"44","C02105",2089,"Isoquinoline alkaloids
"
"45","C07481",2100,"Purine alkaloids
"
"46","C01004",2237,"Pyridine alkaloids
"
"47","C00078",2250,"Common amino acids
"
"48","C00062",2257,"Common amino acids
"
"49","C05688",2262,"Other amino acids
"
"50","C14151",2432,"Vitamin E
"
"51","C14153",2434,"Vitamin E
"
"52","C03582",2451,"Diphenyl ethers, biphenyls, dibenzyls and stilbenes
Stilbenes
"
"53","C05625",2536,"flavonols
"
"54","C01557",2542,"Furanocoumarins
"
"55","C06562",2571,"Flavans, Flavanols and Leucoanthocyanidins
Flavan 3-ols
Condensed tannins (Proanthocyanidins)
"
"56","C09727",2576,"Flavans, Flavanols and Leucoanthocyanidins
Flavan 3-ols
Condensed tannins (Proanthocyanidins)
"
"57","C04293",2579,"flavones
"
"58","C00852",2582,"Caffeate derivatives
"
"59","C00811",2593,"Paracoumaryl alcohol derivatives
"
"60","C10208",2608,"Isoflavonoids
isoflavones
"
"61","C12140",2714,"Anthocyanidins
Anthocyanidins and anthocyanins
"
"62","C01477",2798,"Flavones and Flavonols
flavones
"
"63","C00974",2806,"Dihyroflavonols
"
"64","C06424",2890,"Straight chain fatty acids
Saturated fatty acids
"
"65","C06425",2928,"Straight chain fatty acids
Saturated fatty acids
"
"66","C08323",2935,"Unsaturated fatty acids
Monounsaturated fatty acids
"
"67","C01530",2942,"Straight chain fatty acids
Saturated fatty acids
"
