c_id,name,origin
C03272,"Globoside; Globoside I; N-Acetyl-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide; N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide",green
C00818,D-Glucarate; D-Glucaric acid; L-Gularic acid; D-Saccharic acid; D-Glucosaccharic acid; Glucaric acid; Glucarate,green
C16332,trans-2-Enoyl-OPC6-CoA,yellow
C20751,N6-L-Threonylcarbamoyladenine in tRNA; t6A in tRNA,green
C20681,"(E,E)-Geranyllinalool; (6E,10E)-Geranyllinalool; (6E,10E)-3,7,11,15-Tetramethylhexadeca-1,6,10,14-tetraen-3-ol",yellow
C02843,Long-chain acyl-CoA; Long-chain-fatty acyl-CoA,green
C00546,Methylglyoxal; Pyruvaldehyde; Pyruvic aldehyde; 2-Ketopropionaldehyde; 2-Oxopropanal,green
C12144,Phytosphingosine; 4-D-Hydroxysphinganine,yellow
C19591,"1,2,3,4-Tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal",yellow
C05956,Prostaglandin G2; PGG2,yellow
C15979,[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine; S-(2-Methylbutanoyl)-dihydrolipoamide-E,green
C15486,3''-Deamino-3''-oxonicotianamine,yellow
C08628,Lupeol,yellow
C00300,Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,green
C17219,3-(4'-Methylthio)butylmalic acid; 3-(4'-Methylthio)butylmalate,green
C00940,2-Oxoglutaramate; 2-Oxoglutaramic acid; alpha-Ketoglutaramate; 2-Ketoglutaramate,yellow
C22136,"Zymosterone; 5alpha-Cholesta-8,24-dien-3-one",yellow
C09306,Sulfur dioxide,blue
C12137,Pelargonidin 3-O-glucoside; Pelargonidin 3-glucoside; Pelargonidin 3-O-beta-D-glucoside,yellow
C05360,Diimine,yellow
C00025,L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate,green
C21881,[Protein]-S-[1-(5-O-phosphono-beta-D-ribofuranosyl)-5-(sulfanylcarbonyl)pyridin-1-ium-3-carbonyl]-L-cysteine,blue
C00267,alpha-D-Glucose,green
C10208,Daidzein,green
C06118,4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate; 4-(4-Deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate; Unsaturated digalacturonate,green
C00028,Acceptor; Hydrogen-acceptor; A; Oxidized donor,green
