	gene_set_1	gene_set_2
C02642	True	True
C00131	True	True
C11437	True	True
C06377	True	False
C04294	True	False
C03272	True	True
C02218	True	True
C19787	True	False
C00818	True	True
C00388	True	True
C02839	True	True
C00060	True	True
C00059	True	True
C00208	True	True
C20751	True	True
C04144	True	True
C01113	True	False
G13061	True	True
C00106	True	True
C00093	True	True
C00018	True	True
C00081	True	True
C04556	True	True
C00199	True	True
C04752	True	True
C02843	True	True
C15811	True	True
C00979	True	True
C04154	True	False
C00546	True	True
C00024	True	True
G13118	True	False
C01368	True	False
C17212	True	True
C04233	True	True
C16243	True	False
C02554	True	True
C01181	True	True
C04644	True	True
C17231	True	True
C00088	True	True
C00266	True	True
C04494	True	True
C16502	True	True
C00015	True	True
C00668	True	True
C20239	True	True
C05951	True	True
C15979	True	True
C07479	True	False
C05312	True	False
C15667	True	False
C16221	True	True
C02745	True	True
C01335	True	True
C00666	True	False
C02412	True	True
C00342	True	True
C03512	True	True
C18048	True	False
C00966	True	True
C01355	True	False
C03722	True	True
C06128	True	True
C15809	True	False
C03263	True	True
C00436	True	True
G13163	True	False
C05838	True	True
C02226	True	True
C01290	True	True
C15972	True	True
C04352	True	True
C00300	True	True
C00061	True	True
C15547	True	True
C00096	True	True
C00299	True	True
C15996	True	False
C00663	True	False
C01132	True	True
C00161	True	True
C21877	True	False
C17219	True	True
C00718	True	True
C04349	True	False
C01185	True	True
C04916	True	True
C00501	True	False
C19080	True	True
C04157	True	True
C00343	True	True
C05753	True	True
C02528	True	False
C00069	True	True
C16698	True	False
C00011	True	True
C18040	True	True
C04823	True	True
C03740	True	True
C14899	True	False
C00741	True	False
C19859	True	True
C04501	True	True
C00582	True	False
C00206	True	True
C00078	True	True
C00020	True	True
C00194	True	True
C00254	True	True
C00683	True	True
C09306	True	False
C20969	True	True
C02553	True	True
C00129	True	True
C00519	True	True
C00063	True	True
C00416	True	True
C00192	True	False
C05161	True	False
C03402	True	True
G13186	True	False
C00185	True	True
C05269	True	True
C00143	True	True
C00119	True	True
C00025	True	True
C00041	True	True
C06504	True	False
C05924	True	True
C21881	True	False
C05691	True	True
C01635	True	False
C20238	True	True
C00962	True	True
C19085	True	True
C05817	True	True
C09099	True	False
G00289	True	True
C00085	True	True
C00887	True	False
C06113	True	True
C00365	True	True
C00167	True	True
C17949	True	False
C06311	True	False
C21065	True	True
C11545	True	False
C01131	True	False
C00112	True	True
C20377	True	True
C15602	True	False
C20375	True	True
C00189	True	True
G13179	True	False
C00267	True	True
C21015	True	True
C00417	True	True
C00010	True	True
C10208	True	True
C14090	True	True
G13167	True	False
C00052	True	True
C00166	True	True
C00139	True	True
C16244	True	False
C00624	True	True
C20376	True	True
C00692	True	False
C00894	True	True
C00089	True	True
C04824	True	False
C04327	True	True
C00114	True	True
C11404	True	False
G00317	True	True
C00526	True	True
C00535	True	True
C17549	True	False
C02084	True	False
C00439	True	True
C00250	True	True
C00237	True	True
C14463	True	True
C19847	True	False
C05850	True	True
C06613	True	True
C05756	True	True
C03539	True	False
C03921	True	False
C00644	True	False
C00207	True	False
C03294	True	True
C06118	True	True
C02352	True	True
C00141	True	True
C00136	True	True
C04153	True	False
C04432	True	True
C11907	True	True
C06567	True	False
C05796	True	True
C00691	True	False
